trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_cross,ls_env_0,ls_env_1
1,0.776555775834409,0.07350061788104303,Matern52,0.06533474707213056,0.0007644807887041314,11.787605454640781,4.04547572012278,34.33258483724707,3.0232634294853797,17.973043712331762
2,660.9734401432218,681.4241650371159,Matern52,0.9006539522520198,0.0005547721189737201,1.8044885156419952,0.01736779788032699,27.779340280557513,2.7101707182655472,0.15910558296167576
3,1.5291751018908852,0.29222646753463855,Matern52,0.9925030464546049,0.5271200780230749,1.953945634722992,0.04253229351202962,2.9555846685991205,0.01970807025639495,0.0387124938293889
4,1.486366267402531,0.6086128439419501,RBF,2.4312055328379838e-05,0.02698882311588251,0.019754506342533184,6.574156904259712,2.3432231714342517,0.07061036687172316,0.4122025565770574
5,1.638435721436591,0.10796924805692316,Matern32,0.002402240233689788,0.011027058350680135,0.22524871701686983,0.24236750411546848,0.14106695091696342,0.024354464379765767,1.0271054144739453
6,1.216954215562509,0.27509520834712176,RationalQuadratic,0.0012737578779085125,0.047920264543004625,42.282744812303314,7.808933020548447,0.585832678343492,0.044065269894699576,10.44502397219213
7,1.6264342468839197,1.4852466943946987,RBF,1.1102506960577198e-05,1.6558174761770166,1.0588714895432756,30.020897046590612,0.021231846602575474,97.2632639761755,6.256254093231718
8,1.2982341172276781,0.651465490189218,Matern52,0.0798377646903132,0.23906087353192898,0.03624437678780192,0.22280193432416162,9.820714637468779,20.910216502643646,0.018077878085008985
9,400.44539115414966,4102.389088652887,Matern52,0.0002319754180936418,0.006686660827770514,94.10747103309697,1.9671789913414257,0.01645551572131843,12.176522353854313,7.819763431394489
10,1.5723999616488118,0.745735682310835,Matern32,4.482301106231418e-05,0.16688340031882995,4.083937823224864,6.554449589285834,0.5495305164437134,0.8360431152477898,0.19958576865376224
11,1.0521465812011874,0.05818980816758408,RationalQuadratic,0.5905918049715261,0.04352941126107244,63.77045080216471,65.9358769588855,0.11838563687273915,0.01462316665372066,0.013766189494922625
12,1.6409485263961152,0.9702262956654832,Matern32,0.014618897177790037,2.3979173887492773,0.10541348059185401,0.17030146956663245,0.026261677766173018,2.7077560797961864,13.315311617253899
13,1.386524147864745,0.5171868841853396,Matern32,0.0032008899391022783,0.07424719745727676,17.18437969779508,0.07370190331252394,2.731596806743579,8.320671979744635,0.1357199691078691
14,1448.7799816905185,3529.063452787358,RationalQuadratic,0.007119204483000273,0.0013099825971131438,10.839675663052455,33.759751624188574,0.022667696660035607,0.7389146265402565,0.01860765713652903
15,2896.860691127747,18885.701515161214,Matern52,0.00949638007552001,0.002619878054481311,0.027604032426527134,78.66685474752623,0.011705413494669172,41.968799109594315,0.08508295205866254
16,38376.12417540758,238801.86912305458,Matern52,0.013833439321071343,0.0007086469140247639,26.854917520759432,0.2184944337319862,0.06563522948575018,89.32002744434725,31.694976681927233
17,1.0283404360207364,0.5678523224539526,Matern52,1.1510680205425395e-06,0.007681423171481167,0.174482688808114,0.6404758863588325,18.53442242015653,18.04404368195221,33.81196571227608
18,1.5117435652198157,0.0632772913306617,Matern32,3.786315042746635e-05,0.0010981288318060208,0.03858592905980561,80.5566164530065,0.2527744494135559,0.02584212748040706,0.19943258818485546
19,17.8609751372502,959.5139019680679,RBF,0.04008482823337449,0.11344197832490256,0.24949416120933302,0.4662842569778369,0.03253176180018753,25.08532347133318,0.09568727691338265
