trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_env_0,ls_env_1
1,1.6367186836255825,1.6319894883097152,Matern52,5.831216285646516e-06,0.3159418075289279,4.04547572012278,34.33258483724707,3.0232634294853797,17.973043712331762
2,1.6286739854566796,1.6229320043591886,RBF,3.4001274408102186e-06,0.04836549420414053,0.01736779788032699,27.779340280557513,2.7101707182655472,0.15910558296167576
3,0.9658440421928066,0.2793634120666306,RBF,0.34757471306315696,0.05237137585094489,0.04253229351202962,2.9555846685991205,0.01970807025639495,0.0387124938293889
4,0.8497524904982109,0.32313836843104726,RBF,0.00234237683411249,0.0005294777183303516,6.574156904259712,2.3432231714342517,0.07061036687172316,0.4122025565770574
5,1.2834966025079875,1.1168985541334067,RationalQuadratic,0.0005196426630475384,0.006037314963732858,0.24236750411546848,0.14106695091696342,0.024354464379765767,1.0271054144739453
6,1.4826531341507752,1.4504612016400376,RationalQuadratic,0.006153386424766847,1.1332994537939947,7.808933020548447,0.585832678343492,0.044065269894699576,10.44502397219213
7,1.7174204166446159,0.34396958590561016,Matern52,2.3841074040548142,0.0283808084376833,30.020897046590612,0.021231846602575474,97.2632639761755,6.256254093231718
8,0.7826437967905004,0.31833171160742524,RationalQuadratic,0.09190594133668313,0.0009714537833118051,0.22280193432416162,9.820714637468779,20.910216502643646,0.018077878085008985
9,1.631841519110352,1.6247075642246558,RationalQuadratic,0.00022398754213217223,2.5223515169883126,1.9671789913414257,0.01645551572131843,12.176522353854313,7.819763431394489
10,0.8533451292384546,0.47079014081460446,Matern52,0.05020464624385549,0.10946130685069994,6.554449589285834,0.5495305164437134,0.8360431152477898,0.19958576865376224
11,1.5654116996419936,1.5543245557724803,Matern32,0.005234809724324644,1.7092319191459127,65.9358769588855,0.11838563687273915,0.01462316665372066,0.013766189494922625
12,1.099931519231285,0.14490841490214826,RationalQuadratic,4.445050685435594,0.0028253851661614563,0.17030146956663245,0.026261677766173018,2.7077560797961864,13.315311617253899
13,1.278713387197937,1.155027148820577,Matern52,0.012853528005629094,0.4605909150825275,0.07370190331252394,2.731596806743579,8.320671979744635,0.1357199691078691
14,1.6289736200061942,1.6235202574642933,RBF,1.4429391816607371e-05,0.2905345564194987,33.759751624188574,0.022667696660035607,0.7389146265402565,0.01860765713652903
15,1.319392719104764,1.1964345300350945,Matern32,4.630707539837943e-05,0.0007398676460188576,78.66685474752623,0.011705413494669172,41.968799109594315,0.08508295205866254
16,1.640606903849362,1.6360577011720043,RBF,5.132744963884981e-06,0.7197892069935736,0.2184944337319862,0.06563522948575018,89.32002744434725,31.694976681927233
17,1.0620815386017994,0.9208986238383264,Matern32,0.0002828479255390771,0.004676639059278975,0.6404758863588325,18.53442242015653,18.04404368195221,33.81196571227608
18,1.4203116228947956,1.3874135490316921,RationalQuadratic,1.0724154160878944e-05,0.0010342141344354557,80.5566164530065,0.2527744494135559,0.02584212748040706,0.19943258818485546
19,1.3173918570674574,0.631095180026713,RBF,0.0262254985655062,0.00668716276293051,0.4662842569778369,0.03253176180018753,25.08532347133318,0.09568727691338265
20,0.7719955138371484,0.4531330127478862,RBF,0.004334084436854503,0.002950277074766542,0.08305067834202685,80.16773083200245,7.115052124615891,0.6155940024079746
21,0.9548096143429217,0.14081487265509787,RationalQuadratic,0.1973180190784765,0.0002990289782579828,0.013995303184803451,97.5558971868875,0.21251766281444914,1.8513838785633043
