trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_cross,ls_env_0,ls_env_1
1,0.6673218031157738,0.09179687131408984,Matern52,0.06533474707213056,0.0007644807887041314,11.787605454640781,4.04547572012278,34.33258483724707,3.0232634294853797,17.973043712331762
2,1009.3240923835281,1049.080242306018,Matern52,0.9006539522520198,0.0005547721189737201,1.8044885156419952,0.01736779788032699,27.779340280557513,2.7101707182655472,0.15910558296167576
3,1.1066889692263537,0.40304649286676203,Matern52,0.9925030464546049,0.5271200780230749,1.953945634722992,0.04253229351202962,2.9555846685991205,0.01970807025639495,0.0387124938293889
4,1.6278475688153207,1.6196940847897288,RBF,2.4312055328379838e-05,0.02698882311588251,0.019754506342533184,6.574156904259712,2.3432231714342517,0.07061036687172316,0.4122025565770574
5,1.2928468951833567,0.998274038239148,Matern32,0.002402240233689788,0.011027058350680135,0.22524871701686983,0.24236750411546848,0.14106695091696342,0.024354464379765767,1.0271054144739453
6,1.3289765098761237,1.2525196973113735,RationalQuadratic,0.0012737578779085125,0.047920264543004625,42.282744812303314,7.808933020548447,0.585832678343492,0.044065269894699576,10.44502397219213
7,1.6410612988808222,1.6366137466847792,RBF,1.1102506960577198e-05,1.6558174761770166,1.0588714895432756,30.020897046590612,0.021231846602575474,97.2632639761755,6.256254093231718
8,1.1795815204304951,0.866218072548366,Matern52,0.0798377646903132,0.23906087353192898,0.03624437678780192,0.22280193432416162,9.820714637468779,20.910216502643646,0.018077878085008985
9,1.2187969383054256,1.0450420430380807,Matern52,0.0002319754180936418,0.006686660827770514,94.10747103309697,1.9671789913414257,0.01645551572131843,12.176522353854313,7.819763431394489
10,1.619319442454372,1.6089961846721526,Matern32,4.482301106231418e-05,0.16688340031882995,4.083937823224864,6.554449589285834,0.5495305164437134,0.8360431152477898,0.19958576865376224
11,1.017214180225829,0.12984642981217054,RationalQuadratic,0.5905918049715261,0.04352941126107244,63.77045080216471,65.9358769588855,0.11838563687273915,0.01462316665372066,0.013766189494922625
12,1.444826698429385,1.3452861770117883,Matern32,0.014618897177790037,2.3979173887492773,0.10541348059185401,0.17030146956663245,0.026261677766173018,2.7077560797961864,13.315311617253899
13,1.1990721740563965,0.9946115217359275,Matern32,0.0032008899391022783,0.07424719745727676,17.18437969779508,0.07370190331252394,2.731596806743579,8.320671979744635,0.1357199691078691
14,161.69537101387442,194.98177762700212,RationalQuadratic,0.007119204483000273,0.0013099825971131438,10.839675663052455,33.759751624188574,0.022667696660035607,0.7389146265402565,0.01860765713652903
15,2338.5230432995045,2448.884595155626,Matern52,0.00949638007552001,0.002619878054481311,0.027604032426527134,78.66685474752623,0.011705413494669172,41.968799109594315,0.08508295205866254
16,1331.9251067550128,11035.77427353442,Matern52,0.013833439321071343,0.0007086469140247639,26.854917520759432,0.2184944337319862,0.06563522948575018,89.32002744434725,31.694976681927233
17,1.6282031712847924,1.6196026137474213,Matern52,1.1510680205425395e-06,0.007681423171481167,0.174482688808114,0.6404758863588325,18.53442242015653,18.04404368195221,33.81196571227608
18,1.3922603393502795,1.3265049014172778,Matern32,3.786315042746635e-05,0.0010981288318060208,0.03858592905980561,80.5566164530065,0.2527744494135559,0.02584212748040706,0.19943258818485546
19,1.2588979966924325,0.9554949652645343,RBF,0.04008482823337449,0.11344197832490256,0.24949416120933302,0.4662842569778369,0.03253176180018753,25.08532347133318,0.09568727691338265
20,0.7161998634775294,0.28891974640839024,RationalQuadratic,0.18519816715759232,0.03890791731391064,0.11007312521004534,0.08305067834202685,80.16773083200245,7.115052124615891,0.6155940024079746
21,0.7093097642205481,0.07790756935592094,RationalQuadratic,0.1472804586744107,0.00030301456370017887,0.48926742280683116,2.2123420368345195,46.34720387424475,0.23744630083934024,2.2537940539047523
22,1.0602502389643813,0.7842868532455893,RationalQuadratic,4.249316245269938,0.000315635721578734,5.63561963825538,1.9185420017583226,68.03245924067416,0.22200817453365357,2.6007413255055893
23,0.8382352025505095,0.4418343454267445,RationalQuadratic,4.551950483943461,0.0003580306815519287,0.4867774963773568,2.022061896609387,8.827065208754485,0.22539236886905448,1.788589160636487
24,0.6890709847279364,0.15056460361731092,RationalQuadratic,0.10473596527927698,0.0029008740342306265,5.091289537873402,12.990385495409283,37.838619710153935,0.28630725267304374,78.8695849401954
25,0.8878705422810667,0.5779368657255296,Matern52,0.00048493553684239354,0.0029712208820630035,6.750203082752886,15.187996887008362,7.958857924340295,2.2665419380997665,89.44448850527168
26,0.7393569942086906,0.28068532032126975,RBF,0.05740623255167386,0.0028899650401507508,3.35141700027303,15.979643351091307,94.16335269028097,0.3799970617388417,95.61754213319313
27,0.6538527601132273,0.12423670186100906,RationalQuadratic,0.3389843747643411,0.014003603461212813,14.94120771895791,3.935310954260424,33.811507157088485,1.6235120611615927,33.547382947682955
28,0.6379390523354029,0.07916409269740449,RationalQuadratic,2.4270358722352903,0.014755221840659853,13.828311369960016,4.285845628472701,17.091372947798668,1.5888632995052072,28.155517649004693
29,0.6442090293742515,0.07883058789941974,RationalQuadratic,2.5366214109421215,0.01622859857424145,17.5599772414574,0.978577640118099,17.32388955692631,1.8186215864785162,34.74297625096868
30,0.6843997970679159,0.16723035593614374,RationalQuadratic,2.334952316625401,0.3495796341643814,35.026527782397885,0.7069426691838905,4.299974552273394,5.9878141908602025,4.732138987265283
31,2448.0096175616964,3655.8527167969055,RationalQuadratic,1.7336645442258953,0.01794098143281775,99.86143895274697,0.013345004896964906,1.2500590304391999,4.123851690801536,18.162194410529132
32,0.746454759888018,0.3808600547104788,RationalQuadratic,0.4037168913138683,0.7619698742337496,9.677370737945886,3.0527313731603445,17.369048173388077,1.3768074189283919,56.60470208265306
33,0.6893733020104482,0.06990188460284792,RationalQuadratic,1.2967370835816365,0.005717952516649558,2.161044479700024,1.3192256777217175,5.97446608173263,0.5903771601576913,20.06300066861151
34,0.8025001128504783,0.0673290606600444,RBF,5.326660884493576,0.08508850340313684,19.922746127102595,0.02853942773221756,16.980434325805877,0.10625917150302028,3.16870722323833
35,0.8095586541281217,0.18181738763981592,RationalQuadratic,0.03258666187090113,0.021267928385173444,46.40041420404353,0.4216780463340206,1.1561735849871417,1.3538003877137434,0.9926220289976146
36,0.8168815128502807,0.09351943739735828,RationalQuadratic,0.9179916610806746,0.004900783619147315,0.8296975938560517,1.0169857119465568,1.862415625326031,0.08813305643798706,63.348156921213025
37,1.6279870420898086,1.6191215083023576,RBF,1.5272739060296129e-06,0.01025370943379723,1.5549041588654688,8.56761285170302,0.5248784676858653,4.428821929250246,24.372369906410217
38,1.6372863775773663,1.6328564875816078,RationalQuadratic,5.788276580712516e-06,0.6247286976949811,74.12439085794522,39.86989791830399,4.469631554649183,0.41052708380817016,11.062441514647082
39,1.136706521625704,0.9390668169804476,Matern32,0.0001578326309014386,0.0013028479622626482,9.312130389055817,5.66601863965538,12.640278444629207,0.13697534915176315,5.007381752766635
40,1.3816250968595172,1.2854841432916018,RationalQuadratic,0.0009284211393410577,0.028568689687571956,3.421795699351163,0.10021439881197174,60.93795135065399,57.39207336574668,51.78081530448941
41,0.7420952019893228,0.4056875955525376,RationalQuadratic,0.28674100339811504,0.17664767071561807,29.347140683527485,0.3438126525189638,24.891395239528375,11.41511032326297,0.32728038315931285
42,1.001065143195902,0.37242819504535135,RBF,2.622460218480746,1.145798970090416,50.191328477096576,1.332137855743303,0.2654031936245535,0.06113953020040139,7.882865109174645
43,21.381824198833613,23.73761956503666,Matern32,0.6707437375228589,0.06124221272095594,2.465884569069068,0.03561480906005354,2.151966171350153,2.0388093671625502,1.2293985537434218
44,0.9886109711303321,0.6724530981559519,RationalQuadratic,0.0037338277591166154,0.03064979746257212,1.3760622699882363,0.14279076300896126,4.04562801659819,1.0404336576767723,0.04223485955178067
45,0.6796473767819478,0.23260728290045077,Matern52,0.021560009143744743,0.010168466260071176,22.428399416297697,3.5901117268187965,26.451718409015182,3.2937368577734216,12.821976729829412
