trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_cross
1,0.6025479988685996,0.1479083061656163,RationalQuadratic,0.07861187550060424,0.04802476528711194,34.33258483724725,3.0232634294853957,17.973043712331858
2,0.93588323282262,0.048010606587027174,RationalQuadratic,0.003947852284195713,0.00020617709126465606,27.779340280557662,2.710170718265562,0.15910558296167662
3,1.0908224313081938,0.04323743414493749,RBF,0.0044817003084602364,0.0005049105604261996,2.955584668599136,0.019708070256395056,0.0387124938293891
4,1.072336399322007,0.8787672849884667,RationalQuadratic,2.9597622758662374e-06,0.07804331656652161,2.343223171434264,0.07061036687172353,0.4122025565770596
5,1.0112231694981526,0.07491045748954758,RBF,0.0001432132953415494,0.002877199939792309,0.14106695091696417,0.024354464379765895,1.0271054144739509
6,0.7604938991089495,0.07483425011727188,RBF,0.602107554913623,0.09270162556883059,0.5858326783434951,0.04406526989469981,10.445023972192185
7,0.9157060706487785,0.6692904892402641,RBF,0.001687951741891636,0.35638491839157777,0.021231846602575585,97.263263976176,6.256254093231751
8,1.0692569053861443,0.12811681558151194,RBF,7.786875936927722e-06,0.0026449325967299706,9.82071463746883,20.910216502643756,0.01807787808500908
9,0.7370514779300618,0.07061041305430923,RBF,2.155190158629141,0.02335283063670008,0.016455515721318516,12.176522353854379,7.819763431394531
10,1.035297553062198,0.20666478219954998,RationalQuadratic,0.014512775485894294,0.07780936653405647,0.5495305164437163,0.8360431152477943,0.19958576865376332
11,1.0916839860214254,0.2805839464251418,RationalQuadratic,1.1590769782107588,0.7827398392726638,0.11838563687273977,0.014623166653720737,0.0137661894949227
12,0.642220999935619,0.11517286423536617,Matern52,4.2694817852368594e-05,0.0020216876011159295,0.02626167776617316,2.7077560797962006,13.31531161725397
13,0.8655671505823002,0.052496150860932136,RationalQuadratic,0.1433572708823088,0.0008749321100090438,2.731596806743594,8.320671979744679,0.13571996910786982
14,1.0795921196489389,0.42251456911055163,Matern32,0.06877902988841858,0.4007697141372649,0.02266769666003573,0.7389146265402605,0.018607657136529128
15,1.0927738849649062,1.063949231228939,RationalQuadratic,5.04496220465907e-06,0.9338721812945682,0.011705413494669234,41.968799109594535,0.085082952058663
16,0.5040332781570724,0.11518761289918018,RBF,0.29205008184976633,0.0025937972744032685,0.06563522948575054,89.32002744434773,31.6949766819274
17,0.5519875714703635,0.311056010736657,RationalQuadratic,9.532481721265236e-05,0.007603235377594698,18.534422420156627,18.044043681952306,33.811965712276255
18,1.0933260073757765,1.0608369636040884,RBF,8.603956800394499e-06,0.9563059736673247,0.2527744494135573,0.0258421274804072,0.1994325881848565
19,1.0593407713458183,0.10367709289742284,Matern32,0.00016855769407959144,0.005535366801745722,0.0325317618001877,25.08532347133331,0.09568727691338315
20,1.0058629013544411,0.06057305579170493,RBF,4.574213767893741e-05,0.0009859135513956862,80.16773083200287,7.115052124615929,0.6155940024079779
21,0.5909492366989819,0.40887865803588863,Matern52,0.0004130739696794351,0.008454231763217124,0.0579131120402357,73.9521959063049,93.21122305546814
22,0.6370050888530372,0.34156810385112013,Matern32,0.0007360880724529064,0.017618775501177363,8.696393426072136,0.18440445991144214,84.62380747129329
23,0.5349734301709475,0.07613352208156174,Matern52,0.017497069656696743,0.00017092227350858197,9.422466309339585,97.24067178315269,30.248076973874994
24,0.8414937356229221,0.053216248840109705,Matern52,0.34036327097966806,0.00012646018298313467,1.2882252528356075,98.26633182946324,3.0506415847877695
25,0.5054424441743727,0.08713028034359313,Matern52,0.02358002117317887,0.00032141072834310236,5.395799967447888,45.598696928242916,41.06141733461266
26,0.5199914590355003,0.10453750531903332,Matern52,0.02688177937236575,0.00042871048426850166,73.03139204055721,46.462236401914254,47.512112676181644
27,0.7978162850390584,0.05370530199161645,Matern52,0.22904530837631562,0.0003281914304733878,5.447917262750821,41.00248568413538,2.6679212174948668
28,0.9220910144147151,0.05302292689800692,Matern52,0.007327811641900814,0.001051961630409596,0.43920983996534485,0.2758046189385972,3.641349833468314
29,0.6332584300386397,0.05507593051281562,Matern32,0.07732779456318878,0.0041220523422728144,1.3889273235747266,1.5560438519579767,19.336924918657058
30,0.5818496487247056,0.06269632440974775,Matern52,0.04848853782603728,0.0015864982778060334,0.06343580597233207,5.264194574307767,54.979199139984594
31,0.827513066925053,0.05115373313090684,RBF,2.300348334661378,0.00029724238320271774,33.70532971258775,4.063815312217454,1.2736245283398502
32,0.6164049586017638,0.18421450282368182,Matern52,0.002439987014310686,0.02820328242839605,0.21544389250604512,1.7241024993676544,18.4710250048071
33,0.7824922322305616,0.05082163463279824,RBF,0.566037643106755,0.0006792096352297961,17.654449457662704,0.4665959327398441,84.06257890092124
34,0.9064088089398696,0.052779362788674664,Matern32,0.006768383740390419,0.000253096294160456,4.653559596139464,55.07657485740596,1.5656787789318745
35,0.7840687203950117,0.06452616726425878,RBF,0.000708880699072646,0.00013849881955422302,54.86867044318883,11.245881838132307,5.514094373118344
36,1.071265384909726,0.15477829351668118,Matern52,1.0019708321026352e-06,0.0016773437076066054,0.8529499124525568,0.08813305643798754,0.45840644348323667
