threshold_percentile,pareto_count_top50,hypervolume_top50,mean_fw_aei_top50,mean_sigma_top50
50,11,26.686454806955666,3.827341077491219,1.3231258940263915
60,13,28.50724894567298,2.1487344884344832,1.3530565208838792
70,14,28.10081960856582,0.9331127887637019,1.361135426575808
75,16,33.113400163300085,0.5715792659078478,1.337321715306261
80,16,33.113400163300085,0.29043628297220614,1.3283124413311758
90,15,32.97101251274753,0.049018130399343766,1.3358957068951438
