method,hypervolume,n_pareto,mean_sigma,hypervolume_se
FW-AEI,34.04064860362774,21.0,1.333613354743604,
Additive EI,26.118726081023595,22.0,1.1774218712128723,
Analytical q=1 EHVI,38.452630164620885,24.0,1.4014922847304232,
Random (5 seeds),16.843081964921545,18.4,1.366382502386503,0.24593737007984356
