smiles,family,tsne_1,tsne_2,type
CCCCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,imidazolium,18.786627,15.643353,cation
CCCCCCCCCCn1cc[n+](C)c1,imidazolium,15.218502,0.9097337,cation
CCCCCCCCCCn1cc[n+](CC)c1,imidazolium,16.041739,1.6272087,cation
CCCCCCCCCCn1cc[n+](CCC#N)c1,imidazolium,16.292421,2.2907107,cation
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1,imidazolium,22.05713,-2.01273,cation
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,imidazolium,22.076801,-2.5924878,cation
CCCCCCCCC[N+]1(C)CCCCC1,piperidinium,-22.970327,-32.411972,cation
CCCCCCCCC[N+]1(C)CCOCC1,piperidinium,-20.072084,-30.71636,cation
CCCCCCCCC[P+](CC)(CC)CC,phosphonium,15.116522,-7.433297,cation
CCCCCCCCC[n+]1ccn(C)c1,imidazolium,14.3281355,4.949871,cation
CCCCCCCCCn1cc[n+](C)c1,imidazolium,14.046419,1.3177968,cation
CCCCCCCCCn1cc[n+](CCCCCCCCC)c1,imidazolium,20.817957,-1.8295127,cation
CCCCCCCCN1C=C[NH+](C)C1,ammonium,3.278813,-0.8525665,cation
CCCCCCCC[N+](C)(C)C,ammonium,3.5226028,-11.118962,cation
CCCCCCCC[N+](C)(CCCCCCCC)C(C)CCCCCC,ammonium,21.885311,-4.2836494,cation
CCCCCCCC[N+](C)(CCCCCCCC)C(CC)CCCCC,ammonium,21.70208,-4.7607656,cation
CCCCCCCC[N+](C)(CCCCCCCC)C(CCC)CCCC,ammonium,21.340975,-4.835576,cation
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,ammonium,22.691376,-4.0712233,cation
CCCCCCCC[N+](CC)(CC)CC,ammonium,9.309789,-14.535294,cation
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,ammonium,24.924349,-2.9935968,cation
CCCCCCCC[N+]1(C)CCCC1,pyrrolidinium,-22.996864,-31.432749,cation
CCCCCCCC[N+]1(C)CCCCC1,piperidinium,-23.503368,-31.810936,cation
CCCCCCCC[N+]1(C)CCOCC1,piperidinium,-19.967108,-30.248072,cation
CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,ammonium,23.190077,-3.4035885,cation
CCCCCCCC[NH+]1C=CN(C)C1C,ammonium,4.0105658,-1.6911637,cation
CCCCCCCC[P+](CC)(CC)CC,phosphonium,14.74238,-7.7873697,cation
CCCCCCCC[P+](CCCC)(CCCC)CCCC,phosphonium,19.34845,-7.8121715,cation
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,phosphonium,25.219734,-3.9497588,cation
CCCCCCCC[S+]=C(N(C)C)N(C)C,sulfonium,0.3908668,-9.654125,cation
CCCCCCCC[n+]1cc(C)cc(C)c1,pyridinium,11.859268,9.115195,cation
CCCCCCCC[n+]1ccc(C)cc1,pyridinium,11.4684515,10.925808,cation
CCCCCCCC[n+]1ccc(N(C)C)cc1,pyridinium,10.689778,10.920114,cation
CCCCCCCC[n+]1ccc2ccccc2c1,pyridinium,14.369603,19.659197,cation
CCCCCCCC[n+]1cccc(C#N)c1,pyridinium,12.8475,11.196477,cation
CCCCCCCC[n+]1cccc(C)c1,pyridinium,12.651345,10.61323,cation
CCCCCCCC[n+]1cccc(C)c1C,pyridinium,13.029914,9.724205,cation
CCCCCCCC[n+]1cccc2ccccc21,pyridinium,14.277115,19.713333,cation
CCCCCCCC[n+]1ccccc1,pyridinium,14.965593,12.736714,cation
CCCCCCCC[n+]1ccn(C)c1,imidazolium,13.11407,5.5387115,cation
CCCCCCCC[n+]1ccn(CC)c1,imidazolium,13.282324,4.253774,cation
CCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,imidazolium,18.741127,16.164518,cation
CCCCCCCCc1cccc[n+]1CC,pyridinium,12.769339,16.164785,cation
CCCCCCCCn1cc[n+](C)c1,imidazolium,12.42892,1.5741787,cation
CCCCCCCCn1cc[n+](CCC#N)c1,imidazolium,13.778893,3.0015352,cation
CCCCCCCCn1cc[n+](CCCCCCCC)c1,imidazolium,19.251326,-0.9918429,cation
CCCCCCCOC[n+]1cccc(O)c1,pyridinium,12.255646,13.587147,cation
CCCCCCC[N+](C)(C)CC,ammonium,3.5870204,-11.572232,cation
CCCCCCC[N+](CC)(CC)CC,ammonium,8.839084,-14.863763,cation
CCCCCCC[N+]1(C)CCCC1,pyrrolidinium,-23.372353,-30.538841,cation
CCCCCCC[N+]1(C)CCCCC1,piperidinium,-23.96248,-30.935692,cation
CCCCCCC[N+]1(C)CCOCC1,piperidinium,-19.738625,-29.544058,cation
CCCCCCC[NH+]1C=CN(C)C1,ammonium,3.1995697,-2.1178226,cation
CCCCCCC[P+](CC)(CC)CC,phosphonium,14.38996,-8.1325445,cation
CCCCCCC[n+]1ccccc1,pyridinium,14.918245,13.278633,cation
CCCCCCC[n+]1ccn(C)c1,imidazolium,11.896888,5.9902787,cation
CCCCCCCc1cccc[n+]1CC,pyridinium,12.422751,16.483557,cation
CCCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,imidazolium,16.289963,23.513948,cation
CCCCCCCn1cc[n+](C)c1,imidazolium,11.227211,1.7054129,cation
CCCCCCCn1cc[n+](CCCCCCC)c1,imidazolium,17.10203,1.4315896,cation
CCCCCCN1C=C[NH+](C)C1,ammonium,1.8869158,-1.0195695,cation
CCCCCCOC(=O)C[N+](C)(C)C,ammonium,2.4866257,-11.802023,cation
CCCCCCOC[n+]1cccc(O)c1,pyridinium,12.038166,13.789551,cation
CCCCCC[N+](C)(C)C,ammonium,2.5112402,-12.504673,cation
CCCCCC[N+](CC)(CC)CC,ammonium,8.227818,-15.273983,cation
CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,ammonium,21.825853,-5.5824785,cation
CCCCCC[N+]1(C)CCCC1,pyrrolidinium,-24.072292,-29.552921,cation
CCCCCC[N+]1(C)CCCCC1,piperidinium,-24.615088,-29.939264,cation
CCCCCC[N+]1(C)CCOCC1,piperidinium,-19.396406,-28.581808,cation
CCCCCC[N+]1(CCCC)CCCC1,pyrrolidinium,-22.212818,-31.121822,cation
CCCCCC[N+]1(CCCCCC)CCCC1,pyrrolidinium,-21.809864,-31.98204,cation
CCCCCC[NH+](CCCCCC)CCCCCC,ammonium,19.354027,-5.9031086,cation
CCCCCC[NH+]1C=CN(C)C1,ammonium,2.7711282,-2.199089,cation
CCCCCC[NH2+]CCN,ammonium,1.2295399,-5.388709,cation
CCCCCC[P+](CCCCCC)(CCCCCC)CC(C)C,phosphonium,19.588995,-7.2249355,cation
CCCCCC[S+]=C(N(C)C)N(C)C,sulfonium,0.17562552,-9.8077345,cation
CCCCCC[n+]1cc(C)cc(C)c1,pyridinium,10.493783,9.082171,cation
CCCCCC[n+]1cc(C)cc(C)c1C,pyridinium,8.487309,-1.6516917,cation
CCCCCC[n+]1cc(C)cc(C)c1CC,pyridinium,8.705525,-2.170489,cation
CCCCCC[n+]1cc(C)cc(C)c1CCCCC,pyridinium,9.649654,-3.1235735,cation
CCCCCC[n+]1cc(CC)cc(CC)c1CCC,pyridinium,9.3565235,-3.6388779,cation
CCCCCC[n+]1ccc(C#N)cc1,pyridinium,8.987477,12.95416,cation
CCCCCC[n+]1ccc(C)cc1,pyridinium,8.981089,12.393484,cation
CCCCCC[n+]1ccc(N(C)C)c(C)c1,pyridinium,9.039495,10.826619,cation
CCCCCC[n+]1ccc(N(C)C)cc1,pyridinium,8.90647,11.517312,cation
CCCCCC[n+]1ccc(N2CCC(C)CC2)cc1,pyridinium,7.8345184,12.330035,cation
CCCCCC[n+]1ccc2ccccc2c1,pyridinium,13.680893,20.83463,cation
CCCCCC[n+]1cccc(C#N)c1,pyridinium,10.340012,13.110747,cation
CCCCCC[n+]1cccc(C)c1,pyridinium,10.492791,12.614469,cation
CCCCCC[n+]1cccc2ccccc21,pyridinium,13.565793,20.893688,cation
CCCCCC[n+]1ccccc1,pyridinium,14.9042015,13.954924,cation
CCCCCC[n+]1ccn(C)c1,imidazolium,11.031365,6.4463954,cation
CCCCCC[n+]1ccn(C)c1C,imidazolium,0.7288969,2.9335783,cation
CCCCCC[n+]1ccn(CC)c1,imidazolium,8.998804,5.0897274,cation
CCCCCC[n+]1ccn(CCC#N)c1,imidazolium,10.3250885,4.545919,cation
CCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,imidazolium,18.755527,17.276056,cation
CCCCCCc1cccc[n+]1CC,pyridinium,11.776523,17.10495,cation
CCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,imidazolium,16.01838,23.734217,cation
CCCCCCn1c[n+](CCCCS(=O)(=O)O)cn1,ammonium,7.9447675,7.16922,cation
CCCCCCn1cc[n+](C)c1,imidazolium,10.231282,1.8302933,cation
CCCCCCn1cc[n+](C)c1C,imidazolium,-0.6237485,2.9923072,cation
CCCCCCn1cc[n+](CC)c1,imidazolium,8.521241,3.5007915,cation
CCCCCCn1cc[n+](CCC#N)c1,imidazolium,10.391128,4.300241,cation
CCCCCCn1cc[n+](CCCCCC)c1,imidazolium,14.723464,3.0203764,cation
CCCCC[N+](C)(C)CC,ammonium,2.2907174,-13.718522,cation
CCCCC[N+](C)(C)CCO,ammonium,1.3093425,-12.989102,cation
CCCCC[N+](C)(CC)CC,ammonium,4.061859,-14.304855,cation
CCCCC[N+](C)(CCC)CCC,ammonium,5.9913974,-13.046355,cation
CCCCC[N+](CC)(CC)CC,ammonium,7.543435,-15.717941,cation
CCCCC[N+]1(C)CCCC1,pyrrolidinium,-25.07078,-28.350742,cation
CCCCC[N+]1(C)CCOCC1,piperidinium,-19.03836,-27.565193,cation
CCCCC[NH3+],ammonium,-0.8315431,-5.6648207,cation
CCCCC[P+](CC)(CC)CC,phosphonium,6.573648,-21.3572,cation
CCCCC[S+]1CCCC1,sulfonium,-26.464027,-17.285704,cation
CCCCC[n+]1ccccc1,pyridinium,6.5731344,31.854141,cation
