smiles,family,tsne_1,tsne_2,type,mw
CCCCCCCCCCCOC[n+]1cccc(O)c1,pyridinium,18.329245,2.2220693,cation,280.43199999999996
CCCCCCCCCCCn1cc[n+](C)c1,imidazolium,16.463913,0.49064034,cation,237.411
CCCCCCCCCCN1CCC[N+]2=C1CCCCC2,ammonium,-22.57858,-33.765453,cation,293.51900000000006
CCCCCCCCCC[N+](C)(C)Cc1ccccc1,ammonium,20.7059,2.5261858,cation,276.488
CCCCCCCCCC[N+](CC)(CC)CC,ammonium,17.830938,-4.4273047,cation,242.47099999999995
CCCCCCCCCC[N+]1(C)CCCCC1,piperidinium,-22.604137,-32.835197,cation,240.45499999999993
CCCCCCCCCC[P+](CC)(CC)CC,phosphonium,15.445463,-7.136567,cation,259.43799999999993
CCCCCCCCCC[n+]1ccccc1,pyridinium,18.453402,4.1062527,cation,220.38000000000002
CCCCCCCCCC[n+]1ccn(C)c1,imidazolium,15.229369,4.393359,cation,223.38400000000001
CCCCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,imidazolium,18.786627,15.643353,cation,313.50900000000007
CCCCCCCCCCn1cc[n+](C)c1,imidazolium,15.218502,0.9097337,cation,223.38400000000001
CCCCCCCCCCn1cc[n+](CC)c1,imidazolium,16.041739,1.6272087,cation,237.411
CCCCCCCCCCn1cc[n+](CCC#N)c1,imidazolium,16.292421,2.2907107,cation,262.421
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1,imidazolium,22.05713,-2.01273,cation,349.6270000000002
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,imidazolium,22.076801,-2.5924878,cation,363.6540000000002
CCCCCCCCC[N+]1(C)CCCCC1,piperidinium,-22.970327,-32.411972,cation,226.42799999999994
CCCCCCCCC[N+]1(C)CCOCC1,piperidinium,-20.072084,-30.71636,cation,228.39999999999995
CCCCCCCCC[P+](CC)(CC)CC,phosphonium,15.116522,-7.433297,cation,245.41099999999994
CCCCCCCCC[n+]1ccn(C)c1,imidazolium,14.3281355,4.949871,cation,209.35700000000003
CCCCCCCCCn1cc[n+](C)c1,imidazolium,14.046419,1.3177968,cation,209.35700000000003
CCCCCCCCCn1cc[n+](CCCCCCCCC)c1,imidazolium,20.817957,-1.8295127,cation,321.5730000000001
CCCCCCCCN1C=C[NH+](C)C1,ammonium,3.278813,-0.8525665,cation,197.34600000000003
CCCCCCCC[N+](C)(C)C,ammonium,3.5226028,-11.118962,cation,172.336
CCCCCCCC[N+](C)(CCCCCCCC)C(C)CCCCCC,ammonium,21.885311,-4.2836494,cation,368.71400000000017
CCCCCCCC[N+](C)(CCCCCCCC)C(CC)CCCCC,ammonium,21.70208,-4.7607656,cation,368.71400000000017
CCCCCCCC[N+](C)(CCCCCCCC)C(CCC)CCCC,ammonium,21.340975,-4.835576,cation,368.71400000000017
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,ammonium,22.691376,-4.0712233,cation,368.7140000000002
CCCCCCCC[N+](CC)(CC)CC,ammonium,9.309789,-14.535294,cation,214.41699999999997
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,ammonium,24.924349,-2.9935968,cation,466.90300000000053
CCCCCCCC[N+]1(C)CCCC1,pyrrolidinium,-22.996864,-31.432749,cation,198.37399999999997
CCCCCCCC[N+]1(C)CCCCC1,piperidinium,-23.503368,-31.810936,cation,212.40099999999995
CCCCCCCC[N+]1(C)CCOCC1,piperidinium,-19.967108,-30.248072,cation,214.37299999999996
CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,ammonium,23.190077,-3.4035885,cation,354.6870000000002
CCCCCCCC[NH+]1C=CN(C)C1C,ammonium,4.0105658,-1.6911637,cation,211.37300000000002
CCCCCCCC[P+](CC)(CC)CC,phosphonium,14.74238,-7.7873697,cation,231.38399999999996
CCCCCCCC[P+](CCCC)(CCCC)CCCC,phosphonium,19.34845,-7.8121715,cation,315.54600000000005
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,phosphonium,25.219734,-3.9497588,cation,483.8700000000006
CCCCCCCC[S+]=C(N(C)C)N(C)C,sulfonium,0.3908668,-9.654125,cation,245.456
CCCCCCCC[n+]1cc(C)cc(C)c1,pyridinium,11.859268,9.115195,cation,220.38000000000002
CCCCCCCC[n+]1ccc(C)cc1,pyridinium,11.4684515,10.925808,cation,206.35300000000004
CCCCCCCC[n+]1ccc(N(C)C)cc1,pyridinium,10.689778,10.920114,cation,235.39500000000004
CCCCCCCC[n+]1ccc2ccccc2c1,pyridinium,14.369603,19.659197,cation,242.38600000000005
CCCCCCCC[n+]1cccc(C#N)c1,pyridinium,12.8475,11.196477,cation,217.33600000000004
CCCCCCCC[n+]1cccc(C)c1,pyridinium,12.651345,10.61323,cation,206.35300000000004
CCCCCCCC[n+]1cccc(C)c1C,pyridinium,13.029914,9.724205,cation,220.38000000000002
CCCCCCCC[n+]1cccc2ccccc21,pyridinium,14.277115,19.713333,cation,242.38600000000005
CCCCCCCC[n+]1ccccc1,pyridinium,14.965593,12.736714,cation,192.32600000000005
CCCCCCCC[n+]1ccn(C)c1,imidazolium,13.11407,5.5387115,cation,195.33000000000004
CCCCCCCC[n+]1ccn(CC)c1,imidazolium,13.282324,4.253774,cation,209.35700000000003
CCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,imidazolium,18.741127,16.164518,cation,285.45500000000004
CCCCCCCCc1cccc[n+]1CC,pyridinium,12.769339,16.164785,cation,220.38000000000002
CCCCCCCCn1cc[n+](C)c1,imidazolium,12.42892,1.5741787,cation,195.33000000000004
CCCCCCCCn1cc[n+](CCC#N)c1,imidazolium,13.778893,3.0015352,cation,234.36700000000002
CCCCCCCCn1cc[n+](CCCCCCCC)c1,imidazolium,19.251326,-0.9918429,cation,293.519
CCCCCCCOC[n+]1cccc(O)c1,pyridinium,12.255646,13.587147,cation,224.324
CCCCCCC[N+](C)(C)CC,ammonium,3.5870204,-11.572232,cation,172.33599999999998
CCCCCCC[N+](CC)(CC)CC,ammonium,8.839084,-14.863763,cation,200.39
CCCCCCC[N+]1(C)CCCC1,pyrrolidinium,-23.372353,-30.538841,cation,184.34699999999995
CCCCCCC[N+]1(C)CCCCC1,piperidinium,-23.96248,-30.935692,cation,198.37399999999994
CCCCCCC[N+]1(C)CCOCC1,piperidinium,-19.738625,-29.544058,cation,200.34599999999995
CCCCCCC[NH+]1C=CN(C)C1,ammonium,3.1995697,-2.1178226,cation,183.319
CCCCCCC[P+](CC)(CC)CC,phosphonium,14.38996,-8.1325445,cation,217.35699999999994
CCCCCCC[n+]1ccccc1,pyridinium,14.918245,13.278633,cation,178.29900000000004
CCCCCCC[n+]1ccn(C)c1,imidazolium,11.896888,5.9902787,cation,181.30300000000003
CCCCCCCc1cccc[n+]1CC,pyridinium,12.422751,16.483557,cation,206.353
CCCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,imidazolium,16.289963,23.513948,cation,271.428
CCCCCCCn1cc[n+](C)c1,imidazolium,11.227211,1.7054129,cation,181.30300000000003
CCCCCCCn1cc[n+](CCCCCCC)c1,imidazolium,17.10203,1.4315896,cation,265.4649999999999
CCCCCCN1C=C[NH+](C)C1,ammonium,1.8869158,-1.0195695,cation,169.29199999999997
CCCCCCOC(=O)C[N+](C)(C)C,ammonium,2.4866257,-11.802023,cation,202.31799999999998
CCCCCCOC[n+]1cccc(O)c1,pyridinium,12.038166,13.789551,cation,210.29700000000003
