trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat
1,1.0455214147612542,1.0186260365144486,Matern52,0.014295534082207021,0.4075699479067958,3.0232634294853957,17.973043712331858
2,1.0933302242239826,1.0872605400271258,RationalQuadratic,2.410597549331569e-06,0.32977488658962933,2.710170718265562,0.15910558296167662
3,1.0930925511454554,1.0867063014625178,RBF,1.0048545705468455e-05,0.03508641994552655,0.019708070256395056,0.0387124938293891
4,0.8762818895113066,0.5641622911428481,RationalQuadratic,0.03099580368035194,0.0278169368966171,0.07061036687172353,0.4122025565770596
5,1.0251971923405288,0.9541524109525887,Matern32,0.0001609488938824921,0.001674637960093874,0.024354464379765895,1.0271054144739509
6,0.6207355203094511,0.28952164361065263,Matern52,0.040780086191218354,0.006954553387880046,0.04406526989469981,10.445023972192185
7,0.6065297060087499,0.18594584713947876,RationalQuadratic,0.348819649388379,0.00025204809526571713,97.263263976176,6.256254093231751
8,1.0927429079899782,1.0857035403424278,Matern32,0.0001407417576175871,0.11658394415028858,20.910216502643756,0.01807787808500908
9,0.5897366177582756,0.21744123889263736,RationalQuadratic,0.004530176453966801,0.00019534718160926515,12.176522353854379,7.819763431394531
10,0.847264436702843,0.3154131367393752,Matern52,0.030847838547336713,0.00652360214128631,0.8360431152477943,0.19958576865376332
11,inf,inf,RBF,1.2224390811209542,0.0014053829061186427,0.014623166653720737,0.0137661894949227
12,0.864850301488004,0.761776346113481,Matern52,9.170987779684672e-05,0.0003117583686123193,2.7077560797962006,13.31531161725397
13,1.0928803066995678,1.0861545110376745,RationalQuadratic,2.4135604500207576e-05,0.03242740893249099,8.320671979744679,0.13571996910786982
14,inf,inf,RBF,0.420581307599677,0.00026909339890059233,0.7389146265402605,0.018607657136529128
15,inf,inf,RBF,1.6196833335075793,0.00013895763429597804,41.968799109594535,0.085082952058663
16,0.9805301319089745,0.9451779639373058,Matern32,0.0001364297615727788,0.0007791707845235109,89.32002744434773,31.6949766819274
17,1.0904308719991538,1.0830054460871892,Matern32,0.0007574451812478667,0.22002635735339124,18.044043681952306,33.811965712276255
18,0.8424852427096432,0.15632532343869024,RationalQuadratic,1.6821399386114526,0.00300074316186887,0.0258421274804072,0.1994325881848565
19,0.9112166526655697,0.5924683260405617,RBF,0.000456700427123142,0.00038619196675905977,25.08532347133331,0.09568727691338315
20,1.093311948469792,1.0872177676736088,Matern32,2.9196044183081425e-05,0.9516894237324545,7.115052124615929,0.6155940024079779
21,0.6832359772276837,0.2228240261118742,RationalQuadratic,0.0049537914779689855,0.00012033531360355207,98.67936222027103,2.676818029073007
22,0.6532895693718764,0.16818395168485223,RationalQuadratic,0.46690937101012125,0.00013201306181507557,0.18440445991144214,3.993736626074091
23,0.5513882535383923,0.24002991615282038,RationalQuadratic,0.16039768992898037,0.0004621572241631673,65.58078767954783,71.62104321738666
24,0.7989897093925398,0.7260034661201377,RationalQuadratic,0.002916898194958766,0.0007380368433870507,47.63226659628109,82.85333099922285
25,0.5677832371087537,0.3605954957393546,RationalQuadratic,0.09126887496892873,0.0029124053377561467,8.538531928676585,73.41604809428817
26,0.5821769778110006,0.37677053188371656,RationalQuadratic,0.14249442229566434,0.0032146898275193926,0.2727803378893546,95.61754213319364
27,0.6130710337408735,0.44545213166181397,RationalQuadratic,0.1068566097146356,0.012336566401716962,5.285452062438484,52.67586218512879
28,0.7086726855296354,0.18456429197237,RationalQuadratic,0.10139430604105203,0.0006068613125425037,40.25802213328716,1.6266783066828667
29,0.5661280005856896,0.3197449046282485,Matern52,0.012347901040148827,0.0017479239373063193,1.2488563340937635,28.39024539198438
30,0.5633020900532661,0.288540863840023,Matern52,0.010754177675187437,0.0012016824199925866,1.8123490695352913,24.218122492427376
31,0.5795679700765002,0.2493623538714261,Matern52,0.013347502818944222,0.001061039501062845,0.3380646967336125,15.5417109735653
32,0.9947477866837543,0.9512352685360128,Matern52,0.0014624235007007584,0.01521227018739056,1.7241024993676544,22.812417506359374
