method,co2_mean_sigma,vis_mean_sigma,tox_mean_sigma,co2_ratio_to_ehvi,vis_ratio_to_ehvi,tox_ratio_to_ehvi
FW-AEI,0.13351631983884368,1.0841789367050125,2.779600056119968,0.9383030840876273,1.043176311976205,1.0139089018435683
Additive EI,0.07970870245240921,0.8305768645467958,2.584323539682075,0.5601631428277263,0.799165230975549,0.9426782951591812
Analytical q=1 EHVI,0.1422955142140135,1.039305555789636,2.7414692296969503,1.0,1.0,1.0
Random (5 seeds),0.09063344682545665,1.0112022408296437,2.901382544666346,0.6369381868858022,0.9729595259031978,1.0583312456098852
