nominal_coverage,empirical_coverage
0.0,0.0
0.01,0.020089285714285716
0.02,0.03794642857142857
0.03,0.060267857142857144
0.04,0.08556547619047619
0.05,0.1130952380952381
0.06,0.12648809523809523
0.07,0.1480654761904762
0.08,0.1636904761904762
0.09,0.18452380952380953
0.1,0.20461309523809523
0.11,0.22767857142857142
0.12,0.24776785714285715
0.13,0.2693452380952381
0.14,0.28943452380952384
0.15,0.3132440476190476
0.16,0.328125
0.17,0.3474702380952381
0.18,0.3645833333333333
0.19,0.3787202380952381
0.2,0.39955357142857145
0.21,0.4181547619047619
0.22,0.4322916666666667
0.23,0.44419642857142855
0.24,0.4538690476190476
0.25,0.46875
0.26,0.47842261904761907
0.27,0.49032738095238093
0.28,0.5
0.29,0.5148809523809523
0.3,0.5334821428571429
0.31,0.546875
0.32,0.5669642857142857
0.33,0.5758928571428571
0.34,0.5870535714285714
0.35000000000000003,0.5967261904761905
0.36,0.6034226190476191
0.37,0.6175595238095238
0.38,0.6294642857142857
0.39,0.6361607142857143
0.4,0.6436011904761905
0.41000000000000003,0.6488095238095238
0.42,0.6532738095238095
0.43,0.6592261904761905
0.44,0.6651785714285714
0.45,0.6696428571428571
0.46,0.6741071428571429
0.47000000000000003,0.6778273809523809
0.48,0.6830357142857143
0.49,0.6897321428571429
0.5,0.6927083333333334
0.51,0.6994047619047619
0.52,0.7038690476190477
0.53,0.7098214285714286
0.54,0.7150297619047619
0.55,0.7202380952380952
0.56,0.7254464285714286
0.5700000000000001,0.7351190476190477
0.58,0.7403273809523809
0.59,0.7425595238095238
0.6,0.7477678571428571
0.61,0.7537202380952381
0.62,0.7604166666666666
0.63,0.7663690476190477
0.64,0.7738095238095238
0.65,0.7767857142857143
0.66,0.7842261904761905
0.67,0.7909226190476191
0.68,0.7924107142857143
0.6900000000000001,0.7953869047619048
0.7000000000000001,0.7961309523809523
0.71,0.7998511904761905
0.72,0.8020833333333334
0.73,0.8050595238095238
0.74,0.8117559523809523
0.75,0.8139880952380952
0.76,0.8169642857142857
0.77,0.8229166666666666
0.78,0.8266369047619048
0.79,0.8303571428571429
0.8,0.8348214285714286
0.81,0.8385416666666666
0.8200000000000001,0.8452380952380952
0.8300000000000001,0.8534226190476191
0.84,0.8586309523809523
0.85,0.8683035714285714
0.86,0.8757440476190477
0.87,0.8824404761904762
0.88,0.8883928571428571
0.89,0.8950892857142857
0.9,0.9040178571428571
0.91,0.9122023809523809
0.92,0.9188988095238095
0.93,0.9278273809523809
0.9400000000000001,0.9345238095238095
0.9500000000000001,0.9471726190476191
0.96,0.9627976190476191
0.97,0.9702380952380952
0.98,0.9739583333333334
0.99,0.9784226190476191
1.0,1.0
