smiles,type,family,mw,source_properties,source_split_roles,source_files
CCC(C)C[NH3+],cation,ammonium,88.174,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCC=C[P+](CC)(CC)CC,cation,phosphonium,173.25999999999996,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCC=Cn1cc[n+](C)c1C,cation,imidazolium,151.23299999999998,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CCCC(CC)[N+](C)(C)C(=N)N(C)C,cation,ammonium,200.35,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCC(CC)[NH2+]CCN,cation,ammonium,159.29699999999997,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CCCCC(CCC)[N+](C)(C)C(=N)N(C)C,cation,ammonium,228.404,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCCC=CCCCCCCCC1=[N+](CC)CCN1CCO,cation,other N-heterocycle,379.65300000000013,tox,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_3_group_tox.csv
CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,335.5999999999999,tox;vis,train;val,train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_tox.csv;val_3_group_tox.csv;val_5_group_vis.csv
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,cation,ammonium,360.65000000000003,tox,train;val,train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,cation,imidazolium,307.54599999999994,vis,test,test_group_vis.csv
CCCCCCCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,307.54599999999994,tox,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_3_group_tox.csv
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,cation,ammonium,332.59599999999995,tox,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_3_group_tox.csv
CCCCCCCCCCCCCC[N+](C)(CCOCCOCCOCCOCCOCCO)CCOCCOCCOCCOCCOCCO,cation,ammonium,757.0799999999999,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCCCCCCCCCCC[N+](CC)(CC)CC,cation,ammonium,298.579,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,399.7080000000003,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,cation,phosphonium,483.8700000000006,co2;tox;vis,test;train;val,test_group_tox.csv;test_group_vis.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_2_group_vis.csv;val_3_group_co2.csv;val_3_group_vis.csv;val_4_group_tox.csv;val_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,279.49199999999996,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCCCCCCC[N+](C)(CCOCCO)CCOCCOCCO,cation,ammonium,434.68200000000036,co2,train;val,train_1_group_co2.csv;train_2_group_co2.csv;train_3_group_co2.csv;train_4_group_co2.csv;val_5_group_co2.csv
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,cation,ammonium,304.542,tox,train;val,train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv
CCCCCCCCCCCC[N+](CC)(CC)CC,cation,ammonium,270.5249999999999,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,371.6540000000002,vis,test,test_group_vis.csv
CCCCCCCCCCCC[n+]1ccccc1,cation,pyridinium,248.434,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,251.438,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv;val_5_group_vis.csv
CCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCC)c1,cation,imidazolium,405.73500000000035,vis,train;val,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
CCCCCCCCCCCOC[n+]1cccc(O)c1,cation,pyridinium,280.43199999999996,tox,test;train;val,test_group_tox.csv;train_1_group_tox.csv;train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv;val_2_group_tox.csv
CCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,237.411,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_3_group_vis.csv
