rank,candidate_index,cation,anion,il_smiles,fw_aei_score,co2_pred,co2_std,vis_pred,vis_std,tox_pred,tox_std,pareto_within_selected_set
1,58692,C[NH+]1CCCC1=O,CC1(C(=O)[O-])CCCN1,C[NH+]1CCCC1=O.CC1(C(=O)[O-])CCCN1,2.3931632988479254,0.429382460887482,0.1467599316827803,-4.646170616149902,0.835606340073016,3.742143392562866,2.9656577619987967,True
2,57932,C[NH+](C)C,CC1(C(=O)[O-])CCCN1,C[NH+](C)C.CC1(C(=O)[O-])CCCN1,2.063230534807346,0.4159450053539295,0.1495038965191162,-4.487051963806152,0.8689818162167927,3.8138577938079834,2.6926646619510515,True
3,49724,CCn1cc[nH+]c1,CC1(C(=O)[O-])CCCN1,CCn1cc[nH+]c1.CC1(C(=O)[O-])CCCN1,1.6769556563452466,0.4423169940901406,0.1457834090238385,-3.8425817489624023,1.0441294865383381,3.9127252101898193,2.3918094069610345,True
4,62796,Cc1cccc[nH+]1,CC1(C(=O)[O-])CCCN1,Cc1cccc[nH+]1.CC1(C(=O)[O-])CCCN1,1.5793580967592744,0.4399753208134782,0.14592712855225942,-3.8648290634155273,1.139434245165328,3.778247594833374,2.3990857369739937,True
5,49876,CCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,CCn1ccc[n+]1C.CC1(C(=O)[O-])CCCN1,0.8059397596060413,0.4433871714712372,0.14567231334364106,-2.9619970321655273,1.3177743475540387,3.8406178951263428,2.385010852749042,True
6,58996,C[NH3+],CC1(C(=O)[O-])CCCN1,C[NH3+].CC1(C(=O)[O-])CCCN1,0.6790501010000325,0.4365477610664663,0.1461573942630046,-2.8813390731811523,1.2051104722094492,3.933549642562866,2.5078624114301618,True
7,48964,CCn1cc(C)[n+](CC)c1,CC1(C(=O)[O-])CCCN1,CCn1cc(C)[n+](CC)c1.CC1(C(=O)[O-])CCCN1,0.6602457913865836,0.4385286501740201,0.14632288619021108,-2.8314428329467773,1.3366455521822451,3.7073476314544678,2.673312776332721,False
8,47140,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,CC[S+]1CCCC1.CC1(C(=O)[O-])CCCN1,0.6481316687131379,0.44517164949901983,0.1456961281412837,-2.71311092376709,1.3266601113216545,3.8849236965179443,2.3988116342201042,True
9,58540,C[NH+]1C=CN=C1,CC1(C(=O)[O-])CCCN1,C[NH+]1C=CN=C1.CC1(C(=O)[O-])CCCN1,0.6385921234809394,0.34909053911489646,0.15035352470662866,-3.6983556747436523,1.1285428845053536,3.6780126094818115,3.057671457818436,False
10,50788,CN1CCC[NH+]2CCCN=C12,CC1(C(=O)[O-])CCCN1,CN1CCC[NH+]2CCCN=C12.CC1(C(=O)[O-])CCCN1,0.6336716547524512,0.4191816179664404,0.14774592300993636,-3.020094871520996,1.2090075957451711,3.646871328353882,3.0330584922052974,False
11,58001,C[NH+](C)C,NCC(=O)[O-],C[NH+](C)C.NCC(=O)[O-],0.6275988833082478,0.3831949084613208,0.10397814479386486,-3.9536962509155273,0.8981440852824543,3.6631276607513428,3.006336196647093,False
12,45924,CC[NH2+]CC,CC1(C(=O)[O-])CCCN1,CC[NH2+]CC.CC1(C(=O)[O-])CCCN1,0.6008330322948442,0.4254652261255245,0.14739374594871985,-2.96079158782959,1.1107247965836216,3.769019842147827,2.4985343451514463,False
13,58761,C[NH+]1CCCC1=O,NCC(=O)[O-],C[NH+]1CCCC1=O.NCC(=O)[O-],0.476057823679347,0.3818656399785437,0.08566924500952289,-4.243521690368652,0.8874695745813755,3.608386754989624,3.1991801463349345,False
14,49958,CCn1ccc[n+]1C,O=C([O-])C1CCCN1,CCn1ccc[n+]1C.O=C([O-])C1CCCN1,0.46953075921857684,0.45923654076565634,0.1480783402779117,-2.3631811141967773,1.3226322358909322,3.831847906112671,2.3679354150251277,True
15,47222,CC[S+]1CCCC1,O=C([O-])C1CCCN1,CC[S+]1CCCC1.O=C([O-])C1CCCN1,0.46770285196880973,0.4610487666714116,0.14809094774359582,-2.3160924911499023,1.3412656218231371,3.880836248397827,2.381745446594889,True
16,49046,CCn1cc(C)[n+](CC)c1,O=C([O-])C1CCCN1,CCn1cc(C)[n+](CC)c1.O=C([O-])C1CCCN1,0.45813258892356723,0.4540357386584455,0.14866989388766721,-2.38315486907959,1.3506933515730062,3.6983487606048584,2.6608787149330007,True
17,49793,CCn1cc[nH+]c1,NCC(=O)[O-],CCn1cc[nH+]c1.NCC(=O)[O-],0.4393362925722925,0.41486684270745483,0.07534114217258933,-3.5342626571655273,1.0690961176925844,3.7754247188568115,2.815931727291579,False
18,38172,CCC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,CCC[S+]1CCCC1.CC1(C(=O)[O-])CCCN1,0.40261237306144093,0.44581535074693496,0.14566879785675022,-2.3428640365600586,1.313471797665033,3.789191961288452,2.3997417469949776,False
19,62865,Cc1cccc[nH+]1,NCC(=O)[O-],Cc1cccc[nH+]1.NCC(=O)[O-],0.37929050212888743,0.40509170710907944,0.077334693554457,-3.5964879989624023,1.147368575903819,3.6436078548431396,2.815715562250996,False
20,62878,Cc1cccc[nH+]1,O=C([O-])C1CCCN1,Cc1cccc[nH+]1.O=C([O-])C1CCCN1,0.3222554866551873,0.4557629550889216,0.1482768907713507,-2.3113927841186523,1.150047160301154,3.7715203762054443,2.3821045871453927,False
21,67204,[NH3+]CNCCO,CC1(C(=O)[O-])CCCN1,[NH3+]CNCCO.CC1(C(=O)[O-])CCCN1,0.3179251851147837,0.4242050010366903,0.14690218052440374,-2.581721305847168,1.0187145484419446,3.84629225730896,2.6133720256737223,False
22,50870,CN1CCC[NH+]2CCCN=C12,O=C([O-])C1CCCN1,CN1CCC[NH+]2CCCN=C12.O=C([O-])C1CCCN1,0.3135036235392402,0.4339340103272464,0.14986917900813707,-2.3006811141967773,1.2552257974552012,3.644437551498413,3.0261407640068536,False
23,38254,CCC[S+]1CCCC1,O=C([O-])C1CCCN1,CCC[S+]1CCCC1.O=C([O-])C1CCCN1,0.3112913460164891,0.461624446705265,0.14807118176425313,-2.033095359802246,1.3373373627936327,3.7842061519622803,2.382659206775044,True
24,47292,CC[n+]1cc(C)n(C)c1,CC1(C(=O)[O-])CCCN1,CC[n+]1cc(C)n(C)c1.CC1(C(=O)[O-])CCCN1,0.2921620745376326,0.34672564799384714,0.1510530961477801,-2.8122167587280273,1.3506288776756874,3.5787618160247803,2.8960523636862803,False
25,19476,CCCCCC[NH+](CCCCCC)CCCCCC,CC1(C(=O)[O-])CCCN1,CCCCCC[NH+](CCCCCC)CCCCCC.CC1(C(=O)[O-])CCCN1,0.28035467369378025,0.4290601023243403,0.14983695622911725,-3.1520605087280273,0.8022038175248104,1.8608930110931396,2.8970614968917143,False
26,49945,CCn1ccc[n+]1C,NCC(=O)[O-],CCn1ccc[n+]1C.NCC(=O)[O-],0.2553336309289482,0.4180921646918067,0.07387950833464073,-2.864089012145996,1.319486867769207,3.7052457332611084,2.8111494424423866,False
27,46684,CC[P+](CC)(CC)CSC,CC1(C(=O)[O-])CCCN1,CC[P+](CC)(CC)CSC.CC1(C(=O)[O-])CCCN1,0.25138427023691484,0.4525345426272384,0.14537637789424948,-2.1299657821655273,1.2466340044829187,3.4432332515716553,2.6549321215154893,False
28,47209,CC[S+]1CCCC1,NCC(=O)[O-],CC[S+]1CCCC1.NCC(=O)[O-],0.22717838934052811,0.421210681298037,0.07532195041274992,-2.64023494720459,1.3306649099862677,3.7277677059173584,2.816845905838438,False
29,59078,C[NH3+],O=C([O-])C1CCCN1,C[NH3+].O=C([O-])C1CCCN1,0.1963622935065719,0.45227654690678504,0.14857860930613292,-1.8943395614624023,1.2152110338805064,3.930793523788452,2.4937382480277503,True
30,47374,CC[n+]1cc(C)n(C)c1,O=C([O-])C1CCCN1,CC[n+]1cc(C)n(C)c1.O=C([O-])C1CCCN1,0.19394812092689398,0.3573209291347908,0.15266877815717564,-2.33347225189209,1.356225365973156,3.573364019393921,2.8865560400587933,False
