cation,anion
C1CC[NH2+]C1,NCCS(=O)(=O)[O-]
C1CC[NH2+]C1,NS(=O)(=O)[O-]
C1CC[NH2+]C1,O=C(CF)OOB([O-])OOC(=O)CF
C1CC[NH2+]C1,O=C(O)c1ccccc1[O-]
C1CC[NH2+]C1,O=C(O[B-](F)(F)OC(=O)C(F)(F)F)C(F)(F)F
C1CC[NH2+]C1,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,O=C([O-])C(F)(F)F
C1CC[NH2+]C1,O=C([O-])C1CCCN1
C1CC[NH2+]C1,O=C([O-])C=CC(=O)O
C1CC[NH2+]C1,O=C([O-])CNCC(=O)O
C1CC[NH2+]C1,O=C([O-])CO
C1CC[NH2+]C1,O=C([O-])O
C1CC[NH2+]C1,O=C([O-])c1cccc(S(=O)(=O)O)c1
C1CC[NH2+]C1,O=C([O-])c1ccccc1
C1CC[NH2+]C1,O=C([O-])c1ccccc1O
C1CC[NH2+]C1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2
C1CC[NH2+]C1,O=C1[N-]S(=O)(=O)c2ccccc21
C1CC[NH2+]C1,O=C[O-]
C1CC[NH2+]C1,O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,O=P([O-])(O)O
C1CC[NH2+]C1,O=S(=O)(F)[N-]S(=O)(=O)F
C1CC[NH2+]C1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)(N[SH](=O)([O-])C(F)(F)F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)([CH-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)([O-])C(F)(F)C(F)C(F)(F)F
C1CC[NH2+]C1,O=S(=O)([O-])C(F)(F)C(F)F
