nominal_coverage,empirical_coverage
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.06451612903225806
0.04,0.06451612903225806
0.05,0.06451612903225806
0.06,0.0967741935483871
0.07,0.12903225806451613
0.08,0.12903225806451613
0.09,0.1935483870967742
0.1,0.2903225806451613
0.11,0.2903225806451613
0.12,0.3225806451612903
0.13,0.3225806451612903
0.14,0.3548387096774194
0.15,0.3870967741935484
0.16,0.3870967741935484
0.17,0.41935483870967744
0.18,0.4838709677419355
0.19,0.4838709677419355
0.2,0.4838709677419355
0.21,0.5161290322580645
0.22,0.5483870967741935
0.23,0.5483870967741935
0.24,0.5483870967741935
0.25,0.5483870967741935
0.26,0.5806451612903226
0.27,0.5806451612903226
0.28,0.5806451612903226
0.29,0.5806451612903226
0.3,0.5806451612903226
0.31,0.6451612903225806
0.32,0.6774193548387096
0.33,0.6774193548387096
0.34,0.6774193548387096
0.35000000000000003,0.6774193548387096
0.36,0.6774193548387096
0.37,0.6774193548387096
0.38,0.6774193548387096
0.39,0.6774193548387096
0.4,0.6774193548387096
0.41000000000000003,0.6774193548387096
0.42,0.7096774193548387
0.43,0.7419354838709677
0.44,0.7419354838709677
0.45,0.7419354838709677
0.46,0.7419354838709677
0.47000000000000003,0.7419354838709677
0.48,0.7419354838709677
0.49,0.7419354838709677
0.5,0.7741935483870968
0.51,0.7741935483870968
0.52,0.7741935483870968
0.53,0.7741935483870968
0.54,0.7741935483870968
0.55,0.7741935483870968
0.56,0.7741935483870968
0.5700000000000001,0.8064516129032258
0.58,0.8064516129032258
0.59,0.8064516129032258
0.6,0.8064516129032258
0.61,0.8064516129032258
0.62,0.8064516129032258
0.63,0.8064516129032258
0.64,0.8387096774193549
0.65,0.8387096774193549
0.66,0.8387096774193549
0.67,0.8387096774193549
0.68,0.8387096774193549
0.6900000000000001,0.8387096774193549
0.7000000000000001,0.8387096774193549
0.71,0.8387096774193549
0.72,0.8387096774193549
0.73,0.8387096774193549
0.74,0.9032258064516129
0.75,0.9032258064516129
0.76,0.9032258064516129
0.77,0.9032258064516129
0.78,0.9354838709677419
0.79,0.9354838709677419
0.8,0.9354838709677419
0.81,0.9354838709677419
0.8200000000000001,0.9354838709677419
0.8300000000000001,0.9354838709677419
0.84,0.9354838709677419
0.85,0.9354838709677419
0.86,0.9354838709677419
0.87,0.9354838709677419
0.88,0.967741935483871
0.89,0.967741935483871
0.9,1.0
0.91,1.0
0.92,1.0
0.93,1.0
0.9400000000000001,1.0
0.9500000000000001,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
