setting,rank,candidate_index,score,is_pareto_within_top50,cation,anion,co2_pred,vis_pred,tox_pred
three_objective,1,58692,2.3931632988479254,True,C[NH+]1CCCC1=O,CC1(C(=O)[O-])CCCN1,0.429382460887482,-4.646170616149902,3.742143392562866
three_objective,2,57932,2.063230534807346,True,C[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.4159450053539295,-4.487051963806152,3.8138577938079834
three_objective,3,49724,1.6769556563452466,True,CCn1cc[nH+]c1,CC1(C(=O)[O-])CCCN1,0.4423169940901406,-3.8425817489624023,3.9127252101898193
three_objective,4,62796,1.5793580967592744,True,Cc1cccc[nH+]1,CC1(C(=O)[O-])CCCN1,0.4399753208134782,-3.8648290634155273,3.778247594833374
three_objective,5,49876,0.8059397596060413,True,CCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,0.4433871714712372,-2.9619970321655273,3.8406178951263428
three_objective,6,58996,0.6790501010000325,True,C[NH3+],CC1(C(=O)[O-])CCCN1,0.4365477610664663,-2.8813390731811523,3.933549642562866
three_objective,7,48964,0.6602457913865836,False,CCn1cc(C)[n+](CC)c1,CC1(C(=O)[O-])CCCN1,0.4385286501740201,-2.8314428329467773,3.7073476314544678
three_objective,8,47140,0.6481316687131379,True,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,0.44517164949901983,-2.71311092376709,3.8849236965179443
three_objective,9,58540,0.6385921234809394,False,C[NH+]1C=CN=C1,CC1(C(=O)[O-])CCCN1,0.34909053911489646,-3.6983556747436523,3.6780126094818115
three_objective,10,50788,0.6336716547524512,False,CN1CCC[NH+]2CCCN=C12,CC1(C(=O)[O-])CCCN1,0.4191816179664404,-3.020094871520996,3.646871328353882
three_objective,11,58001,0.6275988833082478,False,C[NH+](C)C,NCC(=O)[O-],0.3831949084613208,-3.9536962509155273,3.6631276607513428
three_objective,12,45924,0.6008330322948442,False,CC[NH2+]CC,CC1(C(=O)[O-])CCCN1,0.4254652261255245,-2.96079158782959,3.769019842147827
three_objective,13,58761,0.476057823679347,False,C[NH+]1CCCC1=O,NCC(=O)[O-],0.3818656399785437,-4.243521690368652,3.608386754989624
three_objective,14,49958,0.46953075921857684,True,CCn1ccc[n+]1C,O=C([O-])C1CCCN1,0.45923654076565634,-2.3631811141967773,3.831847906112671
three_objective,15,47222,0.46770285196880973,True,CC[S+]1CCCC1,O=C([O-])C1CCCN1,0.4610487666714116,-2.3160924911499023,3.880836248397827
three_objective,16,49046,0.45813258892356723,True,CCn1cc(C)[n+](CC)c1,O=C([O-])C1CCCN1,0.4540357386584455,-2.38315486907959,3.6983487606048584
three_objective,17,49793,0.4393362925722925,False,CCn1cc[nH+]c1,NCC(=O)[O-],0.41486684270745483,-3.5342626571655273,3.7754247188568115
