group,vis,tox
CCn1cc[n+](C)c1.CS(=O)(=O)[O-],-2.5369604503913044,3.97
CCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,-1.8541323832307692,3.81
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-3.5922123064999996,2.0
CCn1cc[n+](C)c1.F[B-](F)(F)F,-3.4745655407706426,3.44
CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,-4.0858480985,3.918030337
CCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,-4.308011438029411,3.5
CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,-3.7652596801111113,4.002160687
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,-3.78548215154878,4.0881799155
CCn1cc[n+](C)c1.O=S(=O)([O-])O,-1.0294242025789473,3.99
CCn1cc[n+](C)c1.[Cl-],-3.2240996655000003,3.86
COCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.1786566416666666,3.4
COCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.374183293333333,3.38
COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-2.6923431618333336,2.16
COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.392306738291667,3.3
COCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2.4795854037142857,3.81
COCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.6003916204999995,3.19
COCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.5720533288,3.250420002
C[N+](C)(C)CCO.CC(O)C(=O)[O-],0.8421694784285715,4.6
C[N+]1(CCCO)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.945775291625,3.53
C[N+]1(CCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.04749557,3.72
C[n+]1ccn(CCO)c1.F[B-](F)(F)F,-2.877865370714286,3.482873584
C[n+]1ccn(Cc2ccccc2)c1.[Cl-],-1.2108259292941177,3.3
OCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2.9402583046666666,3.55
