method,hypervolume,n_pareto,mean_sigma,hypervolume_se
FW-AEI,27.733750670143205,22.0,1.3324317708879414,
Additive EI,26.846874998221857,16.0,1.1648697022270933,
Analytical q=1 EHVI,29.668438838647944,25.0,1.3076900999002,
Random (5 seeds),19.092785421280308,14.4,1.334406077440482,0.9916097467381986
