property_1,property_2,n_overlapping_ILs,pearson_r,pearson_p,spearman_r,spearman_p
CO2,Viscosity,61,0.14385262055259085,0.26870652385553295,0.15240613432046535,0.24096847287327192
CO2,Toxicity,15,-0.5653801547196342,0.028059320682291562,-0.532142857142857,0.041158580386934415
Viscosity,Toxicity,80,-0.22061291360320473,0.04924461408916156,-0.24360281928059044,0.02944518878806721
