smiles,type,family,tsne_1,tsne_2
CCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,12.882742881774902,-0.3318934440612793
CCCCCCCCCCn1cc[n+](CC)c1,cation,imidazolium,13.691963195800781,0.26020097732543945
CCCCCCCCCCn1cc[n+](CCC#N)c1,cation,imidazolium,14.194114685058594,0.6082683205604553
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1,cation,imidazolium,18.970172882080078,-3.703310251235962
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,cation,imidazolium,18.926963806152344,-4.238147258758545
CCCCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,-19.5179500579834,-32.30155563354492
CCCCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,-17.31479263305664,-29.9445858001709
CCCCCCCCC[P+](CC)(CC)CC,cation,phosphonium,10.988327026367188,-8.35949993133545
CCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,11.837838172912598,0.13879625499248505
CCCCCCCCCn1cc[n+](CCCCCCCCC)c1,cation,imidazolium,17.797744750976562,-3.375002861022949
CCCCCCCCN1C=C[NH+](C)C1,cation,other N-heterocycle,6.593195915222168,-2.727933168411255
CCCCCCCC[N+](C)(C)C,cation,ammonium,1.438901662826538,-9.669227600097656
CCCCCCCC[N+](C)(CCCCCCCC)C(C)CCCCCC,cation,ammonium,18.614892959594727,-5.8308186531066895
CCCCCCCC[N+](C)(CCCCCCCC)C(CC)CCCCC,cation,ammonium,18.385406494140625,-6.262389183044434
CCCCCCCC[N+](C)(CCCCCCCC)C(CCC)CCCC,cation,ammonium,18.074207305908203,-6.3445143699646
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,cation,ammonium,19.411785125732422,-5.7125020027160645
CCCCCCCC[N+](CC)(CC)CC,cation,ammonium,5.716931343078613,-9.848862648010254
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,cation,ammonium,21.670495986938477,-4.901388168334961
CCCCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,-19.75628089904785,-31.40670394897461
CCCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,-20.141857147216797,-31.870542526245117
CCCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,-17.371414184570312,-29.484384536743164
CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,cation,ammonium,19.93476676940918,-5.107148170471191
CCCCCCCC[NH+]1C=CN(C)C1C,cation,other N-heterocycle,6.8070878982543945,-1.7466979026794434
CCCCCCCC[P+](CC)(CC)CC,cation,phosphonium,10.599723815917969,-8.647645950317383
CCCCCCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,15.559157371520996,-8.6746187210083
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,cation,phosphonium,21.868677139282227,-5.85111665725708
CCCCCCCC[n+]1cc(C)cc(C)c1,cation,pyridinium,12.367377281188965,6.32694673538208
CCCCCCCC[n+]1ccc(C)cc1,cation,pyridinium,11.970945358276367,7.998422145843506
CCCCCCCC[n+]1ccc(N(C)C)cc1,cation,pyridinium,12.212990760803223,8.73104190826416
CCCCCCCC[n+]1ccc2ccccc2c1,cation,pyridinium,13.932799339294434,13.644731521606445
CCCCCCCC[n+]1cccc(C)c1,cation,pyridinium,12.127113342285156,6.920455455780029
CCCCCCCC[n+]1cccc(C)c1C,cation,pyridinium,11.566398620605469,6.526305198669434
CCCCCCCC[n+]1cccc2ccccc21,cation,pyridinium,13.843881607055664,13.900397300720215
CCCCCCCC[n+]1ccccc1,cation,pyridinium,16.819721221923828,15.23930835723877
CCCCCCCC[n+]1ccn(C)c1,cation,imidazolium,10.24570083618164,3.9398834705352783
CCCCCCCC[n+]1ccn(CC)c1,cation,imidazolium,11.240653038024902,3.050886631011963
CCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,15.774620056152344,8.707693099975586
CCCCCCCCc1cccc[n+]1CC,cation,pyridinium,11.233285903930664,12.915396690368652
CCCCCCCCn1cc[n+](C)c1,cation,imidazolium,10.355962753295898,0.5619301199913025
CCCCCCCCn1cc[n+](CCC#N)c1,cation,imidazolium,11.826319694519043,1.616957187652588
CCCCCCCCn1cc[n+](CCCCCCCC)c1,cation,imidazolium,16.326215744018555,-2.4076175689697266
CCCCCCCOC[n+]1cccc(O)c1,cation,pyridinium,8.482980728149414,11.44171142578125
CCCCCCC[N+](C)(C)CC,cation,ammonium,1.3532257080078125,-10.068095207214355
CCCCCCC[N+](CC)(CC)CC,cation,ammonium,5.458277702331543,-10.017974853515625
CCCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,-20.30976104736328,-30.712051391601562
CCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,-20.767074584960938,-31.203781127929688
CCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,-17.383663177490234,-28.77659034729004
CCCCCCC[NH+]1C=CN(C)C1,cation,other N-heterocycle,5.790511131286621,-1.6519972085952759
CCCCCCC[P+](CC)(CC)CC,cation,phosphonium,10.235051155090332,-8.967860221862793
CCCCCCC[n+]1ccccc1,cation,pyridinium,16.91531753540039,15.862781524658203
CCCCCCC[n+]1ccn(C)c1,cation,imidazolium,9.45398998260498,4.415080547332764
CCCCCCCc1cccc[n+]1CC,cation,pyridinium,10.933380126953125,13.297073364257812
CCCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,11.995922088623047,17.426219940185547
CCCCCCCn1cc[n+](C)c1,cation,imidazolium,9.264302253723145,0.9096956253051758
CCCCCCCn1cc[n+](CCCCCCC)c1,cation,imidazolium,14.844751358032227,-0.18797171115875244
CCCCCCN1C=C[NH+](C)C1,cation,other N-heterocycle,5.2122392654418945,-3.005884885787964
CCCCCCOC(=O)C[N+](C)(C)C,cation,ammonium,0.21074947714805603,-10.08828353881836
