trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat
1,1.0661080586877874,1.0189851824493712,Matern52,0.014295534082207021,0.4075699479067958,3.0232634294853957,17.973043712331858
2,1.0933346060357816,1.0872636236852453,RationalQuadratic,2.410597549331569e-06,0.32977488658962933,2.710170718265562,0.15910558296167662
3,1.0933361173779967,1.086918942964571,RBF,1.0048545705468455e-05,0.03508641994552655,0.019708070256395056,0.0387124938293891
4,1.0457608305101833,0.47093514078512433,RationalQuadratic,0.03099580368035194,0.0278169368966171,0.07061036687172353,0.4122025565770596
5,1.0807222621623809,0.9654120111813805,Matern32,0.0001609488938824921,0.001674637960093874,0.024354464379765895,1.0271054144739509
6,0.8257954156649978,0.19914005748391278,Matern52,0.040780086191218354,0.006954553387880046,0.04406526989469981,10.445023972192185
7,0.6352459606509273,0.07722360975680906,RationalQuadratic,0.348819649388379,0.00025204809526571713,97.263263976176,6.256254093231751
8,1.0926889782070588,1.0851617793880837,Matern32,0.0001407417576175871,0.11658394415028858,20.910216502643756,0.01807787808500908
9,0.6127414261248664,0.1066500608018403,RationalQuadratic,0.004530176453966801,0.00019534718160926515,12.176522353854379,7.819763431394531
10,1.0921359188639574,0.18846444388509526,Matern52,0.030847838547336713,0.00652360214128631,0.8360431152477943,0.19958576865376332
11,1.0933361173779967,0.031724761072363133,RBF,1.2224390811209542,0.0014053829061186427,0.014623166653720737,0.0137661894949227
12,0.9556990514726067,0.7437115040552371,Matern52,9.170987779684672e-05,0.0003117583686123193,2.7077560797962006,13.31531161725397
13,1.092949058399741,1.0859812190594997,RationalQuadratic,2.4135604500207576e-05,0.03242740893249099,8.320671979744679,0.13571996910786982
14,1.0933361173779947,0.042547577699554306,RBF,0.420581307599677,0.00026909339890059233,0.7389146265402605,0.018607657136529128
15,0.9804381875971847,0.04402793094964789,RBF,1.6196833335075793,0.00013895763429597804,41.968799109594535,0.085082952058663
16,0.9158134047906346,0.8599119567186755,Matern32,0.0001364297615727788,0.0007791707845235109,89.32002744434773,31.6949766819274
17,1.0892625505758602,1.080663091717056,Matern32,0.0007574451812478667,0.22002635735339124,18.044043681952306,33.811965712276255
18,1.0563327809061047,0.046273162785028375,RationalQuadratic,1.6821399386114526,0.00300074316186887,0.0258421274804072,0.1994325881848565
19,0.9454025758187393,0.4833513787769742,RBF,0.000456700427123142,0.00038619196675905977,25.08532347133331,0.09568727691338315
20,1.0933255758679747,1.087225294992137,Matern32,2.9196044183081425e-05,0.9516894237324545,7.115052124615929,0.6155940024079779
21,0.7763729100127386,0.22370936027224753,RationalQuadratic,0.0049537914779689855,0.00012033531360355207,98.67936222027103,2.676818029073007
22,0.8574394202301384,0.057376174776299374,RationalQuadratic,0.46690937101012125,0.00013201306181507557,0.18440445991144214,3.993736626074091
23,0.5370772385829937,0.20089638810159652,RationalQuadratic,0.16039768992898037,0.0004621572241631673,65.58078767954783,71.62104321738666
24,0.7004602769726483,0.5977358111326435,RationalQuadratic,0.002916898194958766,0.0007380368433870507,47.63226659628109,82.85333099922285
25,0.5466098203621688,0.27726762526278736,RationalQuadratic,0.09126887496892873,0.0029124053377561467,8.538531928676585,73.41604809428817
26,0.7387407889041758,0.3675474792161965,RationalQuadratic,0.14249442229566434,0.0032146898275193926,0.2727803378893546,95.61754213319364
27,0.6239891194116062,0.3619959233481854,RationalQuadratic,0.1068566097146356,0.012336566401716962,5.285452062438484,52.67586218512879
28,0.779494476071829,0.07563486716929266,RationalQuadratic,0.10139430604105203,0.0006068613125425037,40.25802213328716,1.6266783066828667
29,0.7506055053901568,0.28350368237264034,Matern52,0.012347901040148827,0.0017479239373063193,1.2488563340937635,28.39024539198438
30,0.9825919258534693,0.9067556104777686,RationalQuadratic,0.011355269107956511,0.015127023463649046,4.1717022014145035,98.30044334207912
31,0.5502122546662156,0.0807498409857306,RationalQuadratic,0.8245534216140068,0.0031432940283560276,11.675489447008404,15.931225643273033
32,0.8668982364526162,0.6848793207285979,RationalQuadratic,0.18862821125260887,0.07804273348216632,1.7702796423477911,66.10533063637422
33,1.0900533259213903,1.0824504216380428,RationalQuadratic,1.5497691681018163e-06,0.001209798844567905,49.962282539554394,4.148336841495414
34,0.9519983869297407,0.7586451602242283,Matern52,0.0014753145647632398,0.004277579978643003,0.41387166042754386,21.345670946548456
35,0.5654392881947178,0.15440191606005238,RationalQuadratic,0.05416472089168243,0.0004590238667974103,2.4585613002275934,42.091113473669786
36,0.8716719405757724,0.31801077755972573,RBF,0.0227649994302872,0.007301430233863863,28.79138425959439,1.547241453588012
37,0.9653910594161234,0.6914425897200006,Matern32,0.009016734248537623,0.0201322673079328,70.17406611930132,0.39468631880455585
38,0.5847602734263764,0.09349540580299578,RationalQuadratic,0.06486091765098059,0.0011534574315291873,16.580430508351835,9.66056975623021
39,0.8602461407965537,0.1959670634375484,Matern52,0.2780843129892952,0.06541822832153069,4.723969424060996,5.380292140530154
40,1.0933314713538254,1.086476691844042,RationalQuadratic,5.2252565786737e-06,0.008194157278164646,0.08323165924141693,0.040584092054679465
41,0.5481171436216756,0.19222780599548,RationalQuadratic,0.025324916694632757,0.00201546085715321,10.148852024122295,21.23900649056171
42,0.6287783097401141,0.07265739929262309,Matern32,0.580080676810549,0.00019759703826797515,1.2643509962721424,56.5777505095074
43,0.7981537905550569,0.6589843601680407,RBF,0.0017778857358645387,0.005083980309563898,30.121071024591515,12.770133590957151
44,1.0520573291145765,0.05120656131883037,Matern52,2.174197058654174,0.0008898921250319351,0.6671327281326596,0.6074468428015363
45,1.0745119870593978,1.0582219130697872,RationalQuadratic,0.0004383602673779101,0.043039841192991285,14.531718468734024,8.57552199319704
46,0.7441521894610533,0.1352531486136276,RationalQuadratic,0.8821725564280941,0.009840262341965195,67.79788565038984,2.675212643639881
47,0.9821158886895193,0.10217037157080508,RBF,0.005248580252868572,0.0004889376733009887,6.85730585770817,0.03561608982890728
48,0.9697760574706331,0.8036632356375766,Matern32,0.26306564062196325,0.9723054454570595,1.9590552863324506,23.672608296357666
49,0.8580934974278142,0.7751589349228409,Matern52,0.06402322953789132,0.18338432393854587,21.457242176656806,39.11881869533216
50,1.0857596151646456,1.0538991411145988,RationalQuadratic,4.817449644217159e-05,0.0022657629793596044,3.894942373757675,0.30080290462557585
51,1.0924223478480257,1.0857642619900993,RBF,0.0002893149858447223,0.607211280804457,67.25293267932493,1.3700091784847013
52,0.9504633030824327,0.026767077119348705,RationalQuadratic,0.02105785744287762,0.00019433146875420852,8.659085431024561,0.010120681549465401
53,0.9377225094724386,0.780489920502229,RationalQuadratic,0.03934792726074669,0.023124248274263806,0.08201914608497828,70.14357969249815
54,0.8730484404491159,0.05165926478160902,Matern32,2.1267624200348023,0.00029755760768053724,0.5717137531040078,6.681855657598849
55,1.07461406099131,0.8917112547757972,Matern52,0.0008814288869589333,0.005136583760881317,0.17445896878752873,0.9396183344401857
56,0.8166326068520423,0.17132269795925523,RationalQuadratic,0.00596130436837039,0.0013223006338855248,3.1543764438578585,2.5197674796352265
57,0.8464345871471302,0.46744876835072713,RBF,0.0032231089758466714,0.0024213579288193685,0.010203798192319227,16.46108559577253
58,0.5401179064368451,0.14688349577519139,RationalQuadratic,1.1165201976078878,0.0009670401871794001,97.64349000224124,45.69098531967704
