trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_structure
1,0.5904729900037303,0.16386936104185693,Matern52,0.4320130553984526,0.035889849957556515,17.973043712331858
2,1.0618002318080595,0.11019285780163497,RationalQuadratic,0.3082367155073543,0.03217305494760361,0.15910558296167662
3,1.0933361173779967,0.0563569037105343,RBF,0.008667874184640496,0.0002339589985962279,0.0387124938293891
4,1.0750189952518527,0.13694361187696563,Matern32,0.00598689900165943,0.0008382317755570292,0.4122025565770596
5,1.067432984383779,0.8357741091837241,Matern52,6.792780595344087e-05,0.0002891174033535126,1.0271054144739509
6,0.7449572726132778,0.40273172242994154,RBF,0.000657084875671058,0.0005231088728279303,10.445023972192185
7,1.093332716191456,1.0872664149691296,Matern32,3.320318345846631e-06,1.1546343981944531,6.256254093231751
8,1.0933361173779967,0.8606996058331189,Matern52,0.058765340362359184,0.24822995096647818,0.01807787808500908
9,1.0933145788023069,1.0872296118273836,Matern32,2.2119478086582638e-06,0.1445502750513053,7.819763431394531
10,1.0932388321121707,1.0182084324906955,Matern52,0.0005933905287863184,0.009924858572247817,0.19958576865376332
11,1.0933361173779967,0.8193808515310179,Matern52,5.137021095497812e-05,0.0001735949477600482,0.0137661894949227
12,1.0931194761758782,1.0869316332717645,RationalQuadratic,4.659617714322221e-06,0.03214439022341123,13.31531161725397
13,1.0933284429542562,0.999794350841252,Matern52,0.007644676720524144,0.09877659551153042,0.13571996910786982
14,1.0933351017892363,1.086752064639887,RationalQuadratic,3.685337244232971e-06,0.008771824122017668,0.018607657136529128
15,1.0933360664199758,1.0872709801558176,RationalQuadratic,1.2852878000905963e-06,0.4982211898083145,0.085082952058663
16,1.0933098863850066,1.0872372703960873,Matern32,2.0064090964071724e-05,1.0603384250006043,31.6949766819274
17,0.7336066403670939,0.6331573613885768,RBF,0.16172273346846094,0.21420495946762225,33.811965712276255
18,1.0925786383276417,0.6737874958729974,Matern32,0.0001721037488587208,0.00030677779144562745,0.1994325881848565
19,1.0933356067108777,1.0872462257418456,RationalQuadratic,6.55477116964444e-06,0.29779359838192104,0.09568727691338315
20,1.0524058082775736,0.07393834923692347,Matern52,1.669215389786741,0.08446440713772836,0.6155940024079779
21,0.5215233376958297,0.14595386476641597,RBF,1.56408748256255,0.0029782875758188393,44.27969636840561
22,0.5572895576151329,0.2312772109880897,RBF,1.5737487553203682,0.004590693473327987,96.561243243786
23,0.5608939103483152,0.22671266984117885,RBF,1.086934953225971,0.0024048776820859786,98.77060800981619
24,0.5715647243973172,0.3985807329121936,RBF,0.04642597610489767,0.003303650755570519,80.30378144857917
25,0.9432812729988054,0.06337068494017314,RBF,2.018950242505545,0.002202445787829113,3.55559842264638
26,0.9851841320578891,0.0683311025238995,RBF,0.0334566756126623,0.0008691619415985173,1.8671731467400083
27,0.5212992686214524,0.1790225386954677,RBF,0.706646380839134,0.004305902669881215,43.755776232047374
28,0.5252264522906581,0.15748845344609236,RBF,0.5725716834598397,0.001306563424027937,47.036445843478006
29,0.5601619928055204,0.2370793775338461,RBF,0.12506258859182331,0.01869144776541745,20.85249900458332
30,0.9255042604844445,0.06581797939021154,RBF,0.5554837490895593,0.005980277060997659,3.4624473619626523
31,0.5330927238113411,0.21058921115543328,RBF,0.19173179947262642,0.0014660942678807057,55.259072232724456
32,0.6598255209951878,0.5047688546691969,RBF,0.021532706823225778,0.022228584432792638,24.246929872872162
33,1.0248626533989422,0.8280054610421812,RBF,0.0028342904732916487,0.014905208645158662,3.7046983002381313
34,0.9913786531313509,0.09292552136407499,RBF,0.5302318662634181,0.039780970420154445,1.537045547878426
35,0.6277387452223636,0.26179868687731295,RBF,0.002107769547538332,0.0005807748350803956,14.937121081552586
36,0.7371944189774209,0.29261871734881795,RationalQuadratic,0.015160422028560648,0.00663976240104354,6.100994891404611
37,0.514809670907161,0.0906111962928374,Matern32,0.11099359427442389,0.00012894187415439065,60.22894782692296
38,1.076297554672587,0.0487233273782232,Matern32,0.08154630065463507,0.00013769638228537014,0.3821544084664985
39,0.5139995921964776,0.10044740591334007,Matern32,0.28236763304685913,0.0003829898746305387,68.9576062490077
40,0.6483471331917368,0.5095781050883119,Matern32,0.0010162998139482144,0.00035911732953317353,73.98027045970976
41,0.689269645755104,0.09776852699217087,Matern32,0.004306952471757932,0.00020541135913521705,10.234252934081107
42,0.983834828963728,0.050005686127816015,Matern32,0.3062738803548751,0.0001230381095439448,1.8220971965830843
43,0.9009904406695656,0.5309260635837033,Matern32,0.00034917359876384193,0.0005024398197700722,5.9054433037724925
44,1.093336117371651,0.09472948275603266,Matern32,0.010901485254132991,0.0008898921250319351,0.0422348595517809
45,0.5548722108394151,0.06793003230024561,Matern32,0.08401891769389463,0.0001274060237055745,22.928253256591947
46,0.7137910458722116,0.05819855549797426,Matern32,0.27454847985489733,0.00024053421896821708,8.777334424903344
47,0.6191815888991702,0.07960174047494918,Matern32,0.02852676579696559,0.00039934098163352786,14.573227455567837
48,1.0724564270490977,0.25528439495609323,Matern32,0.0041931695142709835,0.0013665356566798772,0.4630539526633072
49,1.0762697704048232,0.889908783495845,Matern52,0.00012676154884518976,0.0007192514395043132,0.8633976971088037
50,0.557704780843745,0.25116738663041344,Matern32,0.001158044043759081,0.00019612337023056697,31.4783393201075
51,1.0610364270340549,1.0481103180907223,RationalQuadratic,0.052209106605786954,0.607211280804457,64.1326623106668
52,1.0933361173779967,1.0867072690050914,Matern32,1.7424799021320985e-05,0.037936803928954654,0.010120681549465401
53,1.0849582503493147,0.0839950292397325,Matern52,1.0468064197601221,0.06754949972444974,0.3043884311907645
54,1.0933361173773664,0.04955505281560969,Matern32,0.00875361937968415,0.00015592216299029917,0.03863172729040744
55,0.9033352242702231,0.0563463912488695,RationalQuadratic,0.1273180946036881,0.0016928883632690626,1.1515575163239797
56,0.9656538294775873,0.052502522854849354,Matern32,0.1983810379815825,0.00027408884956260334,2.3667459392064294
57,0.8533568201096223,0.07016888880016682,Matern52,0.02285270462739997,0.0005063485139193759,4.7284009244764125
58,0.9998012459256284,0.9718436821167742,Matern32,0.0003085540017564891,0.0010660020322142518,99.1701364686164
59,1.0872117903865621,1.0788710861202264,Matern32,3.968402740128768e-05,0.008910333950735396,32.36674330470938
60,0.5869407547239213,0.131745930389868,RationalQuadratic,0.07715129332396503,0.0034814776861603245,13.31373036801369
61,0.5719693513626204,0.08514547438916228,Matern52,2.1998448539848936,0.012621848174867722,19.687880397687184
62,0.5571200522448984,0.30296445892963486,Matern32,0.7888354953410688,0.15582072534948366,41.5768456262838
63,0.7342227659380891,0.06375833824055079,Matern32,0.3106385683529985,0.0021042871485238606,7.9269972624029545
64,1.072019115311328,0.05823505608598747,RationalQuadratic,0.015714624805361458,0.00033885247869859064,0.10910464397697418
65,0.986919291340774,0.46631406715380896,Matern52,0.0006212217464578071,0.0006030098980233947,2.7746434630925623
66,0.5369102442304415,0.20749600704479162,RBF,0.8619074282617262,0.004931020786436221,58.49039714897849
