trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_env_0,ls_env_1
1,0.2323494390746018,0.23045257025749466,Matern52,3.752280460080437e-06,0.0065628533089217905,4.045475720122809,34.33258483724731,3.023263429485401,17.97304371233189
2,0.16856915753343737,0.16529742635778982,RBF,2.503829139499409e-06,0.0010046648974945127,0.01736779788032711,27.77934028055771,2.7101707182655668,0.1591055829616769
3,0.15097042365334037,0.017736016475149382,RBF,0.014309087940598635,0.0010878764668227406,0.042532293512029924,2.9555846685991414,0.01970807025639509,0.03871249382938917
4,0.11246585430817183,0.042583569780240596,RBF,0.0003366174700922295,1.0998495649951428e-05,6.574156904259759,2.343223171434268,0.07061036687172366,0.41220255657706034
5,0.1446393474683115,0.08407103401249624,RationalQuadratic,0.00010881611952878492,0.00012540920999544968,0.2423675041154702,0.14106695091696442,0.024354464379765937,1.0271054144739526
6,0.21390942819405953,0.19720064736306728,RationalQuadratic,0.0006945708217497258,0.023541291127323106,7.808933020548503,0.5858326783434962,0.04406526989469989,10.445023972192205
7,96.78313725269363,323.8808254089367,Matern52,0.060644846055946194,0.0005895360415321776,30.02089704659083,0.021231846602575623,97.26326397617618,6.256254093231762
8,0.09633762717813125,0.02860613046582708,RationalQuadratic,0.0052765696280051375,2.0179376468524907e-05,0.2228019343241632,9.820714637468848,20.91021650264379,0.018077878085009113
9,0.22938290502767406,0.2249373385063028,RationalQuadratic,5.788872993526528e-05,0.05239516456844656,1.9671789913414397,0.016455515721318547,12.1765223538544,7.819763431394544
10,0.10399499048994265,0.040441474779118754,Matern52,0.0033528194761345345,0.0022737684052726837,6.5544495892858805,0.5495305164437173,0.8360431152477957,0.19958576865376365
11,0.20892690393306496,0.20314430282846757,Matern32,0.0006152601339648665,0.03550476096853506,65.93587695888597,0.11838563687273998,0.014623166653720763,0.013766189494922724
12,196.48692374857384,243.73436519599417,RationalQuadratic,0.0967606036770427,5.8689885114439885e-05,0.17030146956663367,0.026261677766173205,2.7077560797962055,13.315311617253993
13,0.1309863052596309,0.091117400503185,Matern52,0.0012068063825158818,0.009567554970805539,0.07370190331252446,2.7315968067435987,8.320671979744693,0.13571996910787007
14,0.2173813715965399,0.21589241361280065,RBF,7.402860747501295e-06,0.006035085036282352,33.759751624188816,0.022667696660035767,0.7389146265402617,0.018607657136529163
15,0.12420070892272236,0.09678273777659988,Matern32,1.774937876166267e-05,1.5368788533611378e-05,78.66685474752678,0.011705413494669255,41.96879910959461,0.08508295205866315
16,0.2342061633815517,0.23234697697210213,RBF,3.409886590956827e-06,0.014951712202290433,0.21849443373198776,0.06563522948575065,89.32002744434789,31.694976681927457
17,0.1741467892738957,0.14630232599541781,Matern32,6.895848101306236e-05,9.714477601072697e-05,0.640475886358837,18.534422420156663,18.04404368195234,33.81196571227632
18,0.1392338216580868,0.11981036397316562,RationalQuadratic,5.925703236826404e-06,2.1483056349520828e-05,80.55661645300707,0.25277444941355776,0.025842127480407245,0.19943258818485687
19,95.16745536408476,95.43772378028284,RBF,0.0020601740716404155,0.00013890807490546728,0.4662842569778402,0.032531761800187756,25.085323471333357,0.09568727691338333
20,0.08679755146861359,0.04564111225244447,RBF,0.000534021452932773,6.128418335580637e-05,0.08305067834202745,80.16773083200302,7.115052124615942,0.6155940024079789
21,0.09319101030865609,0.030192867010017395,RationalQuadratic,0.009358551017701167,6.211534126404648e-06,0.01399530318480355,97.5558971868882,0.21251766281445064,1.8513838785633177
22,0.10305389222889264,0.02514416585955819,RBF,0.017640722730094482,6.601296156706799e-06,0.011386428449823821,97.93353213071177,0.1987003301833615,2.0536580108452394
23,0.09352270018482754,0.03522784873053429,RationalQuadratic,0.0102695260749277,4.8284457004639644e-05,0.02968370127993979,82.07257667555548,0.13952244437729797,2.7144143006013746
24,0.11497596666897766,0.016661224364045466,Matern32,0.0392333387050457,0.00025762802738489566,0.0108443522802601,8.747856701146729,0.23422733077576025,0.6958303973910323
25,0.1171113550157874,0.08831239161014888,RBF,0.00015539589204473185,4.382726700450597e-05,0.07626030148061959,51.470467240178365,0.3632794511484058,3.0278311250005503
26,0.09733576951310162,0.06466246652876292,RationalQuadratic,2.885341236103287e-05,8.708669880638837e-06,0.026024157910087605,8.708793927370309,6.127084788122681,1.0586564484014345
27,0.08634029697173486,0.03678400659955584,RationalQuadratic,0.0058592189630952505,0.00027810020324061323,0.08060936877488727,98.49817628042479,1.612241321390074,0.49062078131331555
28,0.09303274055637226,0.03935179169939543,RBF,0.001861836137866026,0.0002744573404200451,0.0898971994693041,15.100215315474356,1.5778330982460758,0.49057923908001194
29,0.17574160512478346,0.14405308843577702,Matern52,0.028945323432951232,0.002873505150828521,1.61226434697294,44.61112285990105,5.590927849019607,83.42202246885947
30,0.12922973306981453,0.07404636536433515,Matern32,0.0002468761126727935,0.0005841213422485473,0.6103908157906903,4.536701363986193,1.5391350949729303,0.03644977791060721
31,0.15377236399679642,0.14683688643587903,RBF,1.4006839554012271e-06,0.0003545807574689268,0.04890091699100338,25.403710706085363,3.8746205125229025,0.37109552542245
32,0.1379516358666209,0.09302127147999778,RationalQuadratic,0.005165825821616895,0.001983463697476435,0.13626946843333998,1.1119171948434696,47.27209610378302,4.006759697293297
33,0.0946419339054795,0.05979443344492501,RBF,0.00048556337893139554,0.0011732594201406044,0.02332213607803007,60.801242896510985,0.5952868622418583,0.34126346740904245
34,0.08794318821948192,0.02662218065601179,Matern52,0.001595697700466088,3.212379527210334e-05,1.0908594937818925,30.03922138216527,2.0260260441888103,0.04977481289353947
35,0.1208780427327496,0.06728610518205687,RBF,0.00023213275932395174,0.0001482793426575902,0.04553373399094421,1.3702320553593148,3.625567533618605,1.4579056552154233
36,0.09735618907216256,0.041928058487943544,RationalQuadratic,0.0036279120032058176,0.0008851231879958092,0.3147600631345402,5.338104983650233,0.08813305643798769,0.6423958627340929
37,0.11408098679314019,0.03408675461227737,RBF,0.09797584735627868,7.782071403758623e-05,2.510034686103642,18.731371972166023,0.3919515484423169,1.1634885008553817
38,0.14292364223524284,0.09420877217418963,RationalQuadratic,0.0008866672975966081,0.0003547169340849686,0.10687706504342599,0.6328404856275962,11.06244151464716,4.451969306190977
39,0.1083790605567361,0.05117459427542792,Matern52,0.00041041024874450687,2.9947172002616383e-05,0.37377043679092176,5.170359725648925,50.255052609477,0.2984978704965347
40,0.08413840305831974,0.02364707223620409,RationalQuadratic,0.024388116643199526,0.00018638417981571432,13.8882817744872,34.05215318241049,1.1639427118402494,0.05414098262096884
41,0.0877728570400103,0.025743952648786327,RationalQuadratic,0.037890857512730663,0.003771524297950843,15.447680244260383,1.4988304896605753,1.3126290791514263,0.029525774609573466
42,0.08898613558310331,0.015985770590940633,RationalQuadratic,0.019136756363649123,0.00021798526255612058,4.876006968613264,36.62823981669758,0.05420131251731842,0.06783590625692622
43,0.09719429251216082,0.02416202787561115,RationalQuadratic,0.009431462385662002,0.0008709713159079946,35.629060018290666,0.2764785415354341,0.9848486627880176,0.011645054672976395
44,0.08433422304843545,0.02407881398758569,RationalQuadratic,0.06912632942378609,0.001674972460581851,13.33067993960832,13.155745141570685,0.4791921002901358,0.12236359703709168
45,0.08584149303060216,0.023339921383323643,RationalQuadratic,0.06679711760231063,0.006426720461623016,19.16426957381489,12.458728223190775,0.4734843547875493,0.023374803446361527
46,0.08984409769948001,0.019045330963996455,RationalQuadratic,0.10911097590023995,0.001696200951088123,13.251842799193296,3.2385157902313155,0.10944748398995201,0.12943952304412426
47,0.13078637839019405,0.033960257989154544,Matern32,0.062474040312731904,0.019868526990444592,9.268962132206651,2.3301247558457576,0.030750988921032143,0.0662047100507114
48,0.0818230979625471,0.042411472402108574,RationalQuadratic,0.02492029322433716,0.010193895759307448,46.27961545939234,7.035349663108544,2.373829495730414,0.21480288515306142
49,0.11177314637896626,0.05607970928754117,Matern52,0.029010514576417352,0.044562018616159854,3.215523603659679,0.7124038956838799,11.656078298446534,0.22852435814334385
50,0.10172050777523582,0.05824195447688461,RationalQuadratic,0.0033763749329476273,0.0042747011946413895,56.515669018303036,2.078421823263194,2.4316433103553505,0.01687285910000853
51,0.1531783046986919,0.1414863593854011,RationalQuadratic,0.0009963223534542437,0.026378424095212873,52.6535312980153,0.3861708270054982,29.634899591719343,0.010197792539156312
52,0.13574110744225312,0.058195506622445034,Matern32,0.0164543847749757,0.012197290390746275,21.525407863823226,5.963615344194856,0.01012068154946542,0.057566657419367805
