trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_env_0,ls_env_1,ls_structure
1,0.10089903403803793,0.06606737043648601,RationalQuadratic,0.007501336662013445,0.002252354290117326,34.33258483724731,3.023263429485401,17.97304371233189
2,0.22556129281318377,0.07975115892002453,RationalQuadratic,0.0007027226510862293,9.669674661762105e-06,27.77934028055771,2.7101707182655668,0.1591055829616769
3,0.2364115441514522,0.027255781681032886,RBF,0.0007769361662965087,2.3680229567028934e-05,2.9555846685991414,0.01970807025639509,0.03871249382938917
4,0.23571202222775325,0.23006324771260403,RationalQuadratic,2.3606652934208067e-06,0.003660219843505672,2.343223171434268,0.07061036687172366,0.41220255657706034
5,0.2362609663606167,0.13555719731548516,RBF,5.088845434071151e-05,0.00013494024570809586,0.14106695091696442,0.024354464379765937,1.0271054144739526
6,0.13824282213981096,0.024368737943704304,RBF,0.037586924596949,0.004347692337537334,0.5858326783434962,0.04406526989469989,10.445023972192205
7,0.2296484108217824,0.20620423523683665,RBF,0.00035866801277089597,0.01671439922867878,0.021231846602575623,97.26326397617618,6.256254093231762
8,0.2364115441514522,0.1955974237418918,RBF,5.076676910503877e-06,0.00012404694214954626,9.820714637468848,20.91021650264379,0.018077878085009113
9,22333.055834398518,26751.739908650605,RBF,0.10313814369957416,0.001095244254844288,0.016455515721318547,12.1765223538544,7.819763431394544
10,0.2272091776981609,0.08610502450973134,RationalQuadratic,0.00196938832352983,0.003649247622066469,0.5495305164437173,0.8360431152477957,0.19958576865376365
11,0.236775590959137,6.838600674766061,RationalQuadratic,0.06312342202678972,0.036710381081334634,0.11838563687273998,0.014623166653720763,0.013766189494922724
12,0.17508022903190917,0.13153043480810078,Matern52,1.9523683698292648e-05,9.481684531777352e-05,0.026261677766173205,2.7077560797962055,13.315311617253993
13,38.73315852793066,5723.068673530885,RationalQuadratic,0.012069385773565642,4.1034184753613464e-05,2.7315968067435987,8.320671979744693,0.13571996910787007
14,0.2364115441514522,0.12373856958469935,Matern32,0.006748418009901625,0.018796039493157238,0.022667696660035767,0.7389146265402617,0.018607657136529163
15,0.23641054909439863,0.23564500701620522,RationalQuadratic,3.6005073008404836e-06,0.04379846525818467,0.011705413494669255,41.96879910959461,0.08508295205866315
16,0.18617798189713158,0.13207195212998618,RBF,0.021198793636850427,0.00012164870320073471,0.06563522948575065,89.32002744434789,31.694976681927457
17,0.1849793337717919,0.16467297347593104,RationalQuadratic,3.6871176067088026e-05,0.0003565905990193981,18.534422420156663,18.04404368195234,33.81196571227632
18,0.23641153875577,0.2356516779410895,RBF,5.49392005043532e-06,0.04485060675627003,0.25277444941355776,0.025842127480407245,0.19943258818485687
19,0.2364087766944504,0.17028176799725064,Matern32,5.7894212501141295e-05,0.00025960787291199586,0.032531761800187756,25.085323471333357,0.09568727691338333
20,0.23430307214625148,0.16358717229000547,RBF,2.0618757737800136e-05,4.623919771174431e-05,80.16773083200302,7.115052124615942,0.6155940024079789
21,0.0869727579642671,0.04874563687059331,Matern52,0.002976227889492981,0.0012554754610873433,0.8281866151504969,0.24836630844105492,83.90927403637286
22,0.08188827233661541,0.044767176576829645,Matern52,0.004471012148528797,0.0010681651818934882,7.600560692001777,0.16275544895403177,86.18883219987154
23,0.08324805368718821,0.04524468483833677,Matern52,0.002771411696592115,0.000831678858278238,5.8919738033889555,0.12757003590098423,79.03163750752671
24,0.22687322947989785,0.09425805485531483,Matern52,0.00020225030004891265,0.0008562866575424148,6.277095835809722,0.12544879325861705,2.8373341129873326
25,0.11273315526472565,0.09532885389032214,Matern52,0.0018154998071896015,0.0090457618909191,72.52135283251845,0.3159010535181709,97.74510689804957
26,0.08163892093751407,0.03760565685460017,Matern52,0.004427707418189845,0.0004411776279023612,6.026145895477823,0.2862463926161851,62.33370673625205
27,0.21920582670684516,0.05859920720207386,Matern52,0.00021052998527038973,0.00036678870965596116,1.6220787965756758,0.365427292319068,3.2327479539413098
28,0.09321374163144575,0.03441518480433468,Matern52,0.02995266781713536,8.211274676013476e-06,8.778465571250363,1.2242357012947185,41.09402004065922
29,0.22968103012614796,0.05703415512156351,Matern52,0.006445107007973507,0.0018374419972885384,43.5581911670659,0.08014805207759507,2.297527222593722
30,0.09297355563352139,0.028238689125043133,Matern32,0.01129324539037822,0.0005559176195187321,1.3334179202726286,0.48429611925953175,21.56990031300202
31,0.10308268906082259,0.08237328668921724,Matern52,0.0007850054406686214,0.006672385903930191,16.482660531490836,1.5319323765276014,67.27015460307419
32,6364.205230932334,7722.011721536866,Matern52,0.0898943182560266,2.2815160130273432e-05,37.50797303944354,0.010620116673485475,20.33008942078866
33,0.20077202531280447,0.08706725174347671,Matern52,0.0004767107783205247,0.002412145992179623,3.6551869545177285,0.18114324303613172,4.60890638092803
34,0.23334772765603792,0.04924052853205156,Matern52,0.001076738810882903,0.00030258649060694513,16.48375099744623,0.06138187651021327,1.6462777466013852
35,0.08803079079341537,0.025178940806395926,Matern32,0.0037256225195556065,0.0001901074708775214,4.659497861217283,0.03566240448623861,49.41404516392271
36,0.12805863387442512,0.07321006061124419,Matern52,0.00013429780712173375,5.406369615371706e-05,0.290478361580961,1.95014448229318,14.656044187325769
37,3.9048393516217685,390.2690808172714,Matern52,0.017871732386780678,2.1246740834256008e-05,9.738432704690203,4.190732345820617,0.4067992684913288
38,0.23387634560728005,0.06808342387283682,Matern52,0.001244576569182149,0.0025900856352064124,1.9609745138565062,0.6460382055526616,1.1875116983662082
39,0.1404195266770814,0.031291923330641784,Matern32,0.048474247010007444,0.0005987931397401817,53.81409768074759,0.11192677128724855,7.95489035229103
40,0.23641154415121904,0.13506066587115045,Matern52,0.00046828309664365397,0.007094492259373632,24.70828977681483,0.22165630911300432,0.040584092054679534
41,0.10148435869535972,0.015330963496878838,Matern52,0.010176801509535083,7.742421554975546e-05,0.6793240258568926,0.04838986596402964,24.93412835509768
42,0.0952208845684946,0.010757750007158071,RationalQuadratic,0.025914363875880423,1.3309417487799823e-05,0.34481681434854333,0.01030464806081515,49.62007506811204
43,0.19321858339099401,0.0973168073998569,Matern52,0.004416365318628101,0.0014808125291816653,1.1220908275235772,4.238900244850123,5.207125241657557
44,0.23609924539652133,0.19440493628459476,Matern32,9.31264980084003e-05,0.012554863204839081,99.9847488670735,0.5767191603017056,0.6173729955755717
45,0.1410571852010857,0.02311474170177446,RBF,0.08409559532558686,0.004159074272392223,2.780832081256771,0.01793283199363949,10.067474963358473
