trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_cross
1,0.7078199392001353,0.4390725245142167,RationalQuadratic,0.07861187550060424,0.04802476528711194,34.33258483724725,3.0232634294853957,17.973043712331858
2,0.7576961140501978,0.08340736483961704,RationalQuadratic,0.003947852284195713,0.00020617709126465606,27.779340280557662,2.710170718265562,0.15910558296167662
3,0.8943614515934174,0.1411862681164014,RBF,0.0044817003084602364,0.0005049105604261996,2.955584668599136,0.019708070256395056,0.0387124938293891
4,1.0933145348859274,1.087209045578011,RationalQuadratic,2.9597622758662374e-06,0.07804331656652161,2.343223171434264,0.07061036687172353,0.4122025565770596
5,1.0674224731741027,1.013366271837248,RBF,0.0001432132953415494,0.002877199939792309,0.14106695091696417,0.024354464379765895,1.0271054144739509
6,0.6865921532093906,0.18462170574696232,RBF,0.602107554913623,0.09270162556883059,0.5858326783434951,0.04406526989469981,10.445023972192185
7,1.0896082416125026,1.0795009933841337,RBF,0.001687951741891636,0.35638491839157777,0.021231846602575585,97.263263976176,6.256254093231751
8,1.0912175407045128,1.0827379368912229,RBF,7.786875936927722e-06,0.0026449325967299706,9.82071463746883,20.910216502643756,0.01807787808500908
9,0.6035471008661887,0.08098032626330107,RBF,2.155190158629141,0.02335283063670008,0.016455515721318516,12.176522353854379,7.819763431394531
10,1.0047024124400865,0.8649363729640995,RationalQuadratic,0.014512775485894294,0.07780936653405647,0.5495305164437163,0.8360431152477943,0.19958576865376332
11,0.9458633595084814,0.4611707650425168,RationalQuadratic,1.1590769782107588,0.7827398392726638,0.11838563687273977,0.014623166653720737,0.0137661894949227
12,1.061253156953469,1.0335802331367079,Matern52,4.2694817852368594e-05,0.0020216876011159295,0.02626167776617316,2.7077560797962006,13.31531161725397
13,0.6757338689809903,0.053850879506017246,RationalQuadratic,0.1433572708823088,0.0008749321100090438,2.731596806743594,8.320671979744679,0.13571996910786982
14,1.0258540221583243,0.8924898896425242,Matern32,0.06877902988841858,0.4007697141372649,0.02266769666003573,0.7389146265402605,0.018607657136529128
15,1.0933334573327365,1.0872670886418736,RationalQuadratic,5.04496220465907e-06,0.9338721812945682,0.011705413494669234,41.968799109594535,0.085082952058663
16,0.5222345738975985,0.1896313484848641,RBF,0.29205008184976633,0.0025937972744032685,0.06563522948575054,89.32002744434773,31.6949766819274
17,1.081984797743751,1.072219703517286,RationalQuadratic,9.532481721265236e-05,0.007603235377594698,18.534422420156627,18.044043681952306,33.811965712276255
18,1.0933309978586307,1.0872585683806961,RBF,8.603956800394499e-06,0.9563059736673247,0.2527744494135573,0.0258421274804072,0.1994325881848565
19,1.0676075050340827,1.0374878955290479,Matern32,0.00016855769407959144,0.005535366801745722,0.0325317618001877,25.08532347133331,0.09568727691338315
20,1.0529025327776975,1.011743996876061,RBF,4.574213767893741e-05,0.0009859135513956862,80.16773083200287,7.115052124615929,0.6155940024079779
21,0.7084895019015908,0.06525387170230053,Matern52,2.2380168197099763,0.02145280840078746,0.06686678289744671,62.28481459225311,2.8460076135966093
22,0.7782814815921121,0.19111076813260663,RBF,0.3971927047768023,0.017618775501177363,0.011120421580806358,0.18440445991144214,93.39629662640382
23,0.596001631373005,0.1894248418926226,RBF,0.024822022559928516,0.0001887467891942727,0.052317375090995474,9.435936991958295,78.92771876679926
24,0.5317461043572528,0.21086003880498722,Matern32,0.01497882042651175,0.00014119104890085636,0.05475338628441025,90.2621433491959,85.822636275716
25,0.7083103632146561,0.5664589259371434,Matern32,0.0007367721020873315,0.0003654657731854671,0.2983507888323435,96.96471145042456,43.20616558658934
26,0.821603975626504,0.054847840934502325,Matern32,0.01963384565506188,0.00016465468028019676,0.06593548865123838,0.3210053594554141,1.6595242195865585
27,0.5254217120312524,0.11531254790911805,Matern32,0.1920424963341118,0.0009853935767853567,1.039198828967977,49.68795759813834,36.504881405224985
28,0.640618672884111,0.06366209006779408,Matern52,0.27729305678895594,0.0010989308597047517,1.3147942745164447,42.31919641502576,3.9090268272655537
29,0.6322503761585733,0.15578390057336697,Matern32,0.06797327269873224,0.004723767783356474,5.622189014685993,1.5715894874159888,28.39024539198438
30,0.608573153393882,0.14622704303955317,Matern32,0.14525979625300034,0.009154771721448931,0.971073260383858,5.264194574307767,21.373613567763883
31,0.5476163838323238,0.10535359852715583,Matern52,0.9193189935266496,0.00047432914138530755,0.36868582033331787,37.09962044274205,55.250765156338105
32,0.6835222581370279,0.3510641911728767,Matern32,0.0034120939298695804,0.0016657996576199575,1.273767106557474,3.8219869977491125,18.4710250048071
33,0.8059415782930766,0.058188082685002654,Matern32,0.037855590731552764,0.00033377443762265676,95.06311132985321,1.7011206684399804,3.3750601734872037
34,0.8981630333868665,0.4106457526361985,Matern32,0.006768383740390419,0.004029043109231852,0.16802958831921702,0.34958014625641787,1.517292198938635
35,1.085167269302192,1.0707984886942943,RBF,0.0004074838566913507,0.037419080427159114,5.436064895434557,57.94755074157046,5.514094373118344
36,1.0930781523007198,1.0864016642666283,Matern52,1.0019708321026352e-06,0.001381648425772915,41.63922636000647,0.08813305643798754,0.45840644348323667
37,0.5689312176566165,0.16749475792622368,RBF,0.37573974277792044,0.0007811606268213668,0.6255819992706722,16.985965850381525,60.22894782692296
38,0.6005928268223972,0.1547442510351829,RBF,0.007055058097731606,0.00025561564548077533,4.833979666737005,74.26974073922071,11.06244151464714
39,0.5745394111350398,0.07072795838425851,Matern32,0.1539355329335307,0.000631583180088771,1.7275277405835958,11.86461388136223,15.587225209681232
40,0.6698170405224557,0.15732387354545405,RBF,1.3333651135693994,0.16487096168773324,0.09867849321561477,26.52664028372503,2.1134858414281172
41,0.9300952860655448,0.7852034296954996,RBF,0.0028850823831424064,0.013175650321918813,0.842371865489677,4.222119728479371,7.109288130673029
42,0.8771655675280051,0.7421645662926719,RationalQuadratic,0.0010413368851508516,0.002768038823199003,10.645441678118475,1.722026674003114,26.190175953770794
43,0.7948973930826142,0.11316288237505892,Matern52,0.036424426178510494,0.0033660344390046425,0.21393260941779996,2.870569608278926,0.04017846326219754
44,0.738653261111781,0.061918881703934434,Matern32,2.293349385114018,0.03571381271355389,0.47127758229678046,0.6339277147480552,5.259590251697875
45,0.5402983984644639,0.20704938202230147,RBF,0.21916696629398078,0.0022252677240399547,0.038575160442482215,32.67969402275239,42.80787030676243
46,0.5544299187436087,0.0894022871709138,RationalQuadratic,0.5797846484224295,0.0059376860194701505,2.580438374298172,15.762343202471738,9.567774452518698
47,0.9651693439940748,0.5799596528487927,Matern32,0.05848888445883628,0.063211588657962,12.162520917058481,0.010803119355688352,0.3410977681906134
48,0.7204067989932839,0.058065135380482955,RBF,0.008285225844077157,0.00011873389614120423,0.10177095806867666,6.0796015464628095,0.7282952338868
49,1.0159969986170743,0.8791807534993203,RationalQuadratic,0.002151661353080389,0.011822299342070994,4.403406674036487,0.10219092938818147,1.0728473103458038
50,0.6591513377047752,0.1616589347085605,Matern52,1.5045012493406573,0.16854892338372568,31.408644468545198,0.03976081264253889,14.056957117749723
51,0.5620018855512859,0.178941568138772,RBF,0.5458611641872636,0.0005478384877081923,3.495371586567458,57.125019113166445,56.92674152351607
52,0.7069522377449486,0.04232087006357553,Matern32,0.10039066025131568,0.001485034109759149,54.00315455294376,9.658077345774387,0.010120681549465401
53,0.7103754208926321,0.5749059086096959,RationalQuadratic,0.00035903862442408546,0.0002675276907674309,0.016169661370463956,23.796404738382893,34.877702143869655
54,0.8712833948212968,0.06407713822640279,RBF,1.0113084525235427,0.028655731382161206,0.7229582887910209,0.5659296904018195,0.03863172729040744
55,0.7800727379990351,0.46067828048999554,Matern32,0.011326725866640616,0.007333393357539521,19.53249061716327,48.48293108521988,4.347360097392369
56,1.0901879439878017,1.081363749266767,RBF,3.0752835965710615e-05,0.014194885939380727,0.3592200126644756,1.2806528183422963,8.239944804410085
