method,n_selected_per_run,n_runs,mean_joint_feasibility,joint_feasibility_mean_se,mean_co2_above_one_probability,mean_co2_feasibility,mean_co2_additive_ei_share,mean_vis_feasibility,mean_vis_additive_ei_share,mean_tox_feasibility,mean_tox_additive_ei_share
FW-AEI,100,1,0.015701106956050818,0.0,4.197644241581987e-05,0.20587128046812242,0.022946177621101425,0.2835549093437683,0.7395624973835758,0.45561031742548563,0.23749132499532272
Additive EI,100,1,0.003185869796439394,0.0,1.132143429173211e-06,0.00762201786078913,0.007128062397074889,0.9355082901768662,0.7759542709050118,0.48461675579239505,0.21691766669791343
Analytical q=1 EHVI,100,1,0.012559405299156829,0.0,7.670568647981118e-05,0.3198324066662941,0.02840473446399551,0.09880506991681372,0.7057825745487395,0.4940977380678831,0.2658126909872651
Random (5 seeds),100,5,3.388786275175901e-05,1.1260510805216658e-05,2.1190626548125287e-06,0.011632071459867702,0.011276273229059578,0.018382857787830144,0.7315057698343815,0.38640435867287076,0.25721795693655897
