case,rank,candidate_index
CO2 x2,84,37633
CO2 x2,85,57944
CO2 x2,86,58552
CO2 x2,87,62808
CO2 x2,88,27760
CO2 x2,89,44480
CO2 x2,90,54284
CO2 x2,91,12636
CO2 x2,92,19462
CO2 x2,93,4580
CO2 x2,94,48812
CO2 x2,95,4510
CO2 x2,96,44462
CO2 x2,97,58703
CO2 x2,98,33004
CO2 x2,99,41281
CO2 x2,100,41972
Viscosity x0.5,1,58692
Viscosity x0.5,2,57932
Viscosity x0.5,3,49724
Viscosity x0.5,4,62796
Viscosity x0.5,5,49876
Viscosity x0.5,6,58996
Viscosity x0.5,7,48964
Viscosity x0.5,8,47140
Viscosity x0.5,9,50788
Viscosity x0.5,10,58540
Viscosity x0.5,11,58001
Viscosity x0.5,12,45924
Viscosity x0.5,13,49958
Viscosity x0.5,14,47222
Viscosity x0.5,15,58761
Viscosity x0.5,16,49046
Viscosity x0.5,17,49793
Viscosity x0.5,18,38172
Viscosity x0.5,19,62865
Viscosity x0.5,20,62878
Viscosity x0.5,21,67204
Viscosity x0.5,22,50870
Viscosity x0.5,23,38254
Viscosity x0.5,24,47292
Viscosity x0.5,25,19476
Viscosity x0.5,26,49945
Viscosity x0.5,27,46684
Viscosity x0.5,28,47209
Viscosity x0.5,29,59078
Viscosity x0.5,30,47374
Viscosity x0.5,31,66444
Viscosity x0.5,32,49806
Viscosity x0.5,33,49033
Viscosity x0.5,34,41212
Viscosity x0.5,35,57945
Viscosity x0.5,36,58774
Viscosity x0.5,37,58705
Viscosity x0.5,38,476
Viscosity x0.5,39,37564
Viscosity x0.5,40,57918
Viscosity x0.5,41,59065
Viscosity x0.5,42,58622
Viscosity x0.5,43,38241
Viscosity x0.5,44,45316
Viscosity x0.5,45,3972
Viscosity x0.5,46,35740
Viscosity x0.5,47,50857
Viscosity x0.5,48,45993
Viscosity x0.5,49,30572
Viscosity x0.5,50,24188
Viscosity x0.5,51,58706
Viscosity x0.5,52,58704
Viscosity x0.5,53,19545
Viscosity x0.5,54,30654
Viscosity x0.5,55,57934
Viscosity x0.5,56,20
Viscosity x0.5,57,49737
Viscosity x0.5,58,37868
Viscosity x0.5,59,58023
Viscosity x0.5,60,42428
Viscosity x0.5,61,45468
Viscosity x0.5,62,37716
Viscosity x0.5,63,46753
Viscosity x0.5,64,58553
Viscosity x0.5,65,46766
Viscosity x0.5,66,37785
Viscosity x0.5,67,62809
Viscosity x0.5,68,57943
Viscosity x0.5,69,50028
Viscosity x0.5,70,44708
Viscosity x0.5,71,58783
Viscosity x0.5,72,46532
Viscosity x0.5,73,780
Viscosity x0.5,74,58678
Viscosity x0.5,75,58709
Viscosity x0.5,76,58084
Viscosity x0.5,77,4428
Viscosity x0.5,78,628
Viscosity x0.5,79,46006
Viscosity x0.5,80,45385
Viscosity x0.5,81,37633
Viscosity x0.5,82,58554
Viscosity x0.5,83,57944
Viscosity x0.5,84,54284
Viscosity x0.5,85,58552
Viscosity x0.5,86,62808
Viscosity x0.5,87,57946
Viscosity x0.5,88,27760
Viscosity x0.5,89,44480
Viscosity x0.5,90,19489
Viscosity x0.5,91,48812
Viscosity x0.5,92,4580
Viscosity x0.5,93,4510
Viscosity x0.5,94,33004
Viscosity x0.5,95,19462
Viscosity x0.5,96,41281
Viscosity x0.5,97,44462
Viscosity x0.5,98,51174
Viscosity x0.5,99,41972
Viscosity x0.5,100,12636
Viscosity x2,1,58692
Viscosity x2,2,57932
Viscosity x2,3,49724
Viscosity x2,4,62796
Viscosity x2,5,49876
Viscosity x2,6,58996
Viscosity x2,7,48964
Viscosity x2,8,47140
Viscosity x2,9,58540
Viscosity x2,10,50788
Viscosity x2,11,58001
Viscosity x2,12,45924
Viscosity x2,13,58761
Viscosity x2,14,49958
Viscosity x2,15,47222
Viscosity x2,16,49046
Viscosity x2,17,49793
Viscosity x2,18,38172
Viscosity x2,19,62865
Viscosity x2,20,62878
Viscosity x2,21,67204
Viscosity x2,22,50870
Viscosity x2,23,38254
Viscosity x2,24,47292
Viscosity x2,25,19476
Viscosity x2,26,49945
Viscosity x2,27,46684
Viscosity x2,28,47209
Viscosity x2,29,47374
Viscosity x2,30,59078
Viscosity x2,31,66444
Viscosity x2,32,49033
Viscosity x2,33,57945
Viscosity x2,34,49806
Viscosity x2,35,41212
Viscosity x2,36,58705
Viscosity x2,37,57918
Viscosity x2,38,58774
Viscosity x2,39,476
Viscosity x2,40,37564
Viscosity x2,41,59065
Viscosity x2,42,58622
Viscosity x2,43,38241
Viscosity x2,44,45316
Viscosity x2,45,3972
Viscosity x2,46,35740
Viscosity x2,47,50857
Viscosity x2,48,58706
Viscosity x2,49,45993
Viscosity x2,50,19545
Viscosity x2,51,30572
Viscosity x2,52,58704
Viscosity x2,53,24188
Viscosity x2,54,58023
Viscosity x2,55,57934
Viscosity x2,56,49737
Viscosity x2,57,30654
Viscosity x2,58,58553
Viscosity x2,59,37868
Viscosity x2,60,57943
Viscosity x2,61,42428
Viscosity x2,62,62809
Viscosity x2,63,20
Viscosity x2,64,37716
Viscosity x2,65,45468
Viscosity x2,66,46753
Viscosity x2,67,58783
Viscosity x2,68,46766
Viscosity x2,69,37785
Viscosity x2,70,44708
Viscosity x2,71,58678
Viscosity x2,72,50028
Viscosity x2,73,58709
Viscosity x2,74,46532
Viscosity x2,75,780
Viscosity x2,76,19489
Viscosity x2,77,58084
Viscosity x2,78,58554
Viscosity x2,79,57946
Viscosity x2,80,628
Viscosity x2,81,12636
Viscosity x2,82,57944
Viscosity x2,83,4428
Viscosity x2,84,62808
Viscosity x2,85,19462
Viscosity x2,86,58552
Viscosity x2,87,44480
Viscosity x2,88,27760
Viscosity x2,89,37633
Viscosity x2,90,46006
Viscosity x2,91,45385
Viscosity x2,92,54284
Viscosity x2,93,58703
Viscosity x2,94,4580
Viscosity x2,95,44462
Viscosity x2,96,48812
Viscosity x2,97,19478
Viscosity x2,98,58526
Viscosity x2,99,4510
Viscosity x2,100,33004
Toxicity x0.5,1,58692
Toxicity x0.5,2,57932
Toxicity x0.5,3,49724
Toxicity x0.5,4,62796
Toxicity x0.5,5,49876
Toxicity x0.5,6,58996
Toxicity x0.5,7,48964
Toxicity x0.5,8,47140
Toxicity x0.5,9,58540
Toxicity x0.5,10,50788
Toxicity x0.5,11,58001
Toxicity x0.5,12,45924
Toxicity x0.5,13,58761
Toxicity x0.5,14,49958
Toxicity x0.5,15,47222
Toxicity x0.5,16,49046
Toxicity x0.5,17,49793
Toxicity x0.5,18,38172
Toxicity x0.5,19,62865
Toxicity x0.5,20,62878
Toxicity x0.5,21,67204
Toxicity x0.5,22,50870
Toxicity x0.5,23,38254
Toxicity x0.5,24,19476
Toxicity x0.5,25,47292
Toxicity x0.5,26,49945
Toxicity x0.5,27,46684
Toxicity x0.5,28,47209
Toxicity x0.5,29,59078
Toxicity x0.5,30,47374
Toxicity x0.5,31,66444
Toxicity x0.5,32,49033
Toxicity x0.5,33,57945
Toxicity x0.5,34,49806
Toxicity x0.5,35,41212
Toxicity x0.5,36,58705
Toxicity x0.5,37,58774
Toxicity x0.5,38,57918
Toxicity x0.5,39,37564
Toxicity x0.5,40,476
Toxicity x0.5,41,59065
Toxicity x0.5,42,58622
Toxicity x0.5,43,38241
Toxicity x0.5,44,45316
Toxicity x0.5,45,3972
Toxicity x0.5,46,35740
Toxicity x0.5,47,50857
Toxicity x0.5,48,45993
Toxicity x0.5,49,58706
Toxicity x0.5,50,19545
Toxicity x0.5,51,30572
Toxicity x0.5,52,58704
Toxicity x0.5,53,24188
Toxicity x0.5,54,58023
Toxicity x0.5,55,57934
Toxicity x0.5,56,30654
Toxicity x0.5,57,49737
Toxicity x0.5,58,58553
Toxicity x0.5,59,37868
Toxicity x0.5,60,42428
Toxicity x0.5,61,57943
Toxicity x0.5,62,62809
Toxicity x0.5,63,20
Toxicity x0.5,64,37716
Toxicity x0.5,65,45468
Toxicity x0.5,66,46753
Toxicity x0.5,67,58783
Toxicity x0.5,68,46766
Toxicity x0.5,69,37785
Toxicity x0.5,70,44708
Toxicity x0.5,71,50028
Toxicity x0.5,72,58678
Toxicity x0.5,73,58709
Toxicity x0.5,74,46532
Toxicity x0.5,75,780
Toxicity x0.5,76,19489
Toxicity x0.5,77,58084
Toxicity x0.5,78,58554
Toxicity x0.5,79,57946
Toxicity x0.5,80,628
Toxicity x0.5,81,12636
Toxicity x0.5,82,4428
Toxicity x0.5,83,57944
Toxicity x0.5,84,46006
Toxicity x0.5,85,37633
Toxicity x0.5,86,62808
Toxicity x0.5,87,45385
Toxicity x0.5,88,58552
Toxicity x0.5,89,19462
Toxicity x0.5,90,44480
Toxicity x0.5,91,27760
Toxicity x0.5,92,54284
Toxicity x0.5,93,4580
Toxicity x0.5,94,58703
Toxicity x0.5,95,48812
Toxicity x0.5,96,44462
Toxicity x0.5,97,19478
Toxicity x0.5,98,4510
Toxicity x0.5,99,58526
Toxicity x0.5,100,33004
Toxicity x2,1,58692
Toxicity x2,2,57932
Toxicity x2,3,49724
Toxicity x2,4,62796
Toxicity x2,5,49876
Toxicity x2,6,58996
Toxicity x2,7,48964
Toxicity x2,8,47140
Toxicity x2,9,58540
Toxicity x2,10,50788
Toxicity x2,11,58001
Toxicity x2,12,45924
Toxicity x2,13,49958
Toxicity x2,14,47222
Toxicity x2,15,58761
Toxicity x2,16,49046
Toxicity x2,17,49793
Toxicity x2,18,38172
Toxicity x2,19,62865
Toxicity x2,20,62878
Toxicity x2,21,67204
Toxicity x2,22,50870
Toxicity x2,23,38254
Toxicity x2,24,47292
Toxicity x2,25,19476
Toxicity x2,26,49945
Toxicity x2,27,46684
Toxicity x2,28,47209
Toxicity x2,29,59078
Toxicity x2,30,47374
Toxicity x2,31,66444
Toxicity x2,32,49806
Toxicity x2,33,49033
Toxicity x2,34,41212
Toxicity x2,35,57945
Toxicity x2,36,58774
Toxicity x2,37,58705
Toxicity x2,38,476
Toxicity x2,39,37564
Toxicity x2,40,57918
Toxicity x2,41,59065
Toxicity x2,42,58622
Toxicity x2,43,38241
Toxicity x2,44,45316
Toxicity x2,45,3972
Toxicity x2,46,35740
Toxicity x2,47,50857
Toxicity x2,48,45993
Toxicity x2,49,30572
Toxicity x2,50,58706
Toxicity x2,51,24188
Toxicity x2,52,58704
Toxicity x2,53,19545
Toxicity x2,54,30654
Toxicity x2,55,57934
Toxicity x2,56,49737
Toxicity x2,57,58023
Toxicity x2,58,20
Toxicity x2,59,37868
Toxicity x2,60,42428
Toxicity x2,61,45468
Toxicity x2,62,37716
Toxicity x2,63,58553
Toxicity x2,64,46753
Toxicity x2,65,46766
Toxicity x2,66,37785
Toxicity x2,67,62809
Toxicity x2,68,57943
Toxicity x2,69,50028
Toxicity x2,70,44708
Toxicity x2,71,58783
Toxicity x2,72,46532
Toxicity x2,73,58678
Toxicity x2,74,780
Toxicity x2,75,58709
Toxicity x2,76,58084
Toxicity x2,77,4428
Toxicity x2,78,628
Toxicity x2,79,46006
Toxicity x2,80,45385
Toxicity x2,81,37633
Toxicity x2,82,58554
Toxicity x2,83,57944
Toxicity x2,84,58552
Toxicity x2,85,54284
Toxicity x2,86,62808
Toxicity x2,87,57946
Toxicity x2,88,27760
Toxicity x2,89,44480
Toxicity x2,90,19489
Toxicity x2,91,48812
Toxicity x2,92,4580
Toxicity x2,93,4510
Toxicity x2,94,19462
Toxicity x2,95,33004
Toxicity x2,96,41281
Toxicity x2,97,44462
Toxicity x2,98,51174
Toxicity x2,99,41972
Toxicity x2,100,58703
CO2 percentage scale,1,58692
CO2 percentage scale,2,57932
CO2 percentage scale,3,49724
CO2 percentage scale,4,62796
CO2 percentage scale,5,49876
CO2 percentage scale,6,58996
CO2 percentage scale,7,48964
CO2 percentage scale,8,47140
CO2 percentage scale,9,50788
CO2 percentage scale,10,45924
CO2 percentage scale,11,58001
CO2 percentage scale,12,58540
CO2 percentage scale,13,49958
CO2 percentage scale,14,47222
CO2 percentage scale,15,49046
CO2 percentage scale,16,38172
CO2 percentage scale,17,49793
CO2 percentage scale,18,58761
CO2 percentage scale,19,62865
CO2 percentage scale,20,62878
CO2 percentage scale,21,38254
CO2 percentage scale,22,50870
CO2 percentage scale,23,67204
CO2 percentage scale,24,19476
CO2 percentage scale,25,46684
CO2 percentage scale,26,47292
CO2 percentage scale,27,49945
CO2 percentage scale,28,47209
CO2 percentage scale,29,59078
CO2 percentage scale,30,49806
CO2 percentage scale,31,66444
CO2 percentage scale,32,49033
CO2 percentage scale,33,47374
CO2 percentage scale,34,41212
CO2 percentage scale,35,58774
CO2 percentage scale,36,37564
CO2 percentage scale,37,35740
CO2 percentage scale,38,45316
CO2 percentage scale,39,38241
CO2 percentage scale,40,3972
CO2 percentage scale,41,476
CO2 percentage scale,42,59065
CO2 percentage scale,43,58622
CO2 percentage scale,44,30572
CO2 percentage scale,45,19545
