trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_cross,ls_env_0,ls_env_1
1,0.13365907267268334,0.06855922015645328,Matern52,0.004085138655784739,1.588006130937474e-05,11.787605454640865,4.045475720122809,34.33258483724731,3.023263429485401,17.97304371233189
2,2221.357318516017,2151.7468884756518,Matern52,0.029223437117996288,1.1523919753389616e-05,1.8044885156420079,0.01736779788032711,27.77934028055771,2.7101707182655668,0.1591055829616769
3,0.23098369128983426,0.010581829243230806,Matern52,0.03143115827167077,0.010949521924021098,1.9539456347230058,0.042532293512029924,2.9555846685991414,0.01970807025639509,0.03871249382938917
4,0.22944275402768652,0.028478728423003058,RBF,1.0947695130444573e-05,0.0005606212374212515,0.019754506342533323,6.574156904259759,2.343223171434268,0.07061036687172366,0.41220255657706034
5,0.40902145190564276,780.7693219803193,Matern32,0.00034304892384577553,0.00022905789819477633,0.22524871701687144,0.2423675041154702,0.14106695091696442,0.024354464379765937,1.0271054144739526
6,0.19428905962227652,0.0974552564845392,RationalQuadratic,0.00021316581414002907,0.0009954164318429753,42.28274481230361,7.808933020548503,0.5858326783434962,0.04406526989469989,10.445023972192205
7,0.8587347413041477,32.48332496226432,RBF,6.081811127925233e-06,0.03439521754810458,1.0588714895432831,30.02089704659083,0.021231846602575623,97.26326397617618,6.256254093231762
8,0.14567112857842796,0.025250761254585818,Matern52,0.004747906754015044,0.004965855760476087,0.03624437678780218,0.2228019343241632,9.820714637468848,20.91021650264379,0.018077878085009113
9,283.7453208041548,8630.868743277928,Matern52,5.943019010313181e-05,0.00013889764853343577,94.10747103309764,1.9671789913414397,0.016455515721318547,12.1765223538544,7.819763431394544
10,0.23209066896549563,0.02578865798263244,Matern32,1.732103573038755e-05,0.0034665601382503726,4.083937823224893,6.5544495892858805,0.5495305164437173,0.8360431152477957,0.19958576865376365
11,0.13698306214006944,0.005361540851930869,RationalQuadratic,0.02129531890029273,0.0009042080975750254,63.770450802165165,65.93587695888597,0.11838563687273998,0.014623166653720763,0.013766189494922724
12,0.23691139494818883,242.30892407787115,Matern32,0.001329091984894196,0.049810375500347115,0.10541348059185476,0.17030146956663367,0.026261677766173205,2.7077560797962055,13.315311617253993
13,0.21165321741281015,0.02351656799555411,Matern32,0.00042544445886823836,0.0015422886553753833,17.184379697795205,0.07370190331252446,2.7315968067435987,8.320671979744693,0.13571996910787007
14,153.61192301105868,659.8901548059023,RationalQuadratic,0.0007748229990232207,2.7211414941679663e-05,10.839675663052532,33.759751624188816,0.022667696660035767,0.7389146265402617,0.018607657136529163
15,17.728351425642284,268.922512672853,Matern52,0.0009617086800052459,5.44210197862148e-05,0.02760403242652733,78.66685474752678,0.011705413494669255,41.96879910959461,0.08508295205866315
16,9483.955597169019,59819.79889595274,Matern52,0.0012751681635259824,1.4720260610456929e-05,26.854917520759624,0.21849443373198776,0.06563522948575065,89.32002744434789,31.694976681927457
17,0.15620239726743426,0.11230355019877689,Matern52,1.1112808247074842e-06,0.00015956119853991756,0.17448268880811524,0.640475886358837,18.534422420156663,18.04404368195234,33.81196571227632
18,0.22370984029370716,0.008599126152511724,Matern32,1.5262052761970507e-05,2.281071471296403e-05,0.03858592905980589,80.55661645300707,0.25277444941355776,0.025842127480407245,0.19943258818485687
19,3.775982362585455,3583.4711509305175,RBF,0.002831980968435372,0.002356456300111702,0.2494941612093348,0.4662842569778402,0.032531761800187756,25.085323471333357,0.09568727691338333
