trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_env_0,ls_env_1
1,1.6392358792743393,1.6342426308579519,Matern52,5.831216285646516e-06,0.3159418075289279,4.04547572012278,34.33258483724707,3.0232634294853797,17.973043712331762
2,1.63644708836151,1.630060141945195,RBF,3.4001274408102186e-06,0.04836549420414053,0.01736779788032699,27.779340280557513,2.7101707182655472,0.15910558296167576
3,1.5059927715441486,0.1890388979709749,RBF,0.34757471306315696,0.05237137585094489,0.04253229351202962,2.9555846685991205,0.01970807025639495,0.0387124938293889
4,1.3940276109638308,0.23352036676394702,RBF,0.00234237683411249,0.0005294777183303516,6.574156904259712,2.3432231714342517,0.07061036687172316,0.4122025565770574
5,1.6301473686561423,1.3506178302581962,RationalQuadratic,0.0005196426630475384,0.006037314963732858,0.24236750411546848,0.14106695091696342,0.024354464379765767,1.0271054144739453
6,1.6069228081549387,1.566200218897631,RationalQuadratic,0.006153386424766847,1.1332994537939947,7.808933020548447,0.585832678343492,0.044065269894699576,10.44502397219213
7,2.1343414672749383,0.4284790327947473,Matern52,2.3841074040548142,0.0283808084376833,30.020897046590612,0.021231846602575474,97.2632639761755,6.256254093231718
8,1.0955559477981693,0.2856871222641174,RationalQuadratic,0.09190594133668313,0.0009714537833118051,0.22280193432416162,9.820714637468779,20.910216502643646,0.018077878085008985
9,1.6410972062881277,1.6337691752208268,RationalQuadratic,0.00022398754213217223,2.5223515169883126,1.9671789913414257,0.01645551572131843,12.176522353854313,7.819763431394489
10,1.4875148132325802,0.5145915520073082,Matern52,0.05020464624385549,0.10946130685069994,6.554449589285834,0.5495305164437134,0.8360431152477898,0.19958576865376224
11,1.6324781293085036,1.6205488839658735,Matern32,0.005234809724324644,1.7092319191459127,65.9358769588855,0.11838563687273915,0.01462316665372066,0.013766189494922625
12,1.6194543353545736,0.0350722560936525,RationalQuadratic,4.445050685435594,0.0028253851661614563,0.17030146956663245,0.026261677766173018,2.7077560797961864,13.315311617253899
13,1.5920817011643897,1.33373777055542,Matern52,0.012853528005629094,0.4605909150825275,0.07370190331252394,2.731596806743579,8.320671979744635,0.1357199691078691
14,1.6401864627452878,1.6346943415961501,RBF,1.4429391816607371e-05,0.2905345564194987,33.759751624188574,0.022667696660035607,0.7389146265402565,0.01860765713652903
15,1.572619748490458,1.3620975917502116,Matern32,4.630707539837943e-05,0.0007398676460188576,78.66685474752623,0.011705413494669172,41.968799109594315,0.08508295205866254
16,1.6415154769809615,1.6369685671779552,RBF,5.132744963884981e-06,0.7197892069935736,0.2184944337319862,0.06563522948575018,89.32002744434725,31.694976681927233
17,1.4388254793775987,1.1576881280267484,Matern32,0.0002828479255390771,0.004676639059278975,0.6404758863588325,18.53442242015653,18.04404368195221,33.81196571227608
